ddr_type_ram,name__ram,latency_ns_ram,read_uncached_gbs_ram,write_gbs_ram,price_ram,additional_ram
DDR4,RAM DDR4(3200) 8GB HIKSEMI ARMOR PURPLE (HSC408U32Z2),10.00,25.6,25.6,1950,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader"
DDR4,RAM DDR4(3200) 8GB HIKSEMI ARMOR WHITE (HSC408U32E2),10.00,25.6,25.6,1950,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader"
DDR4,RAM DDR4(3200) 8GB HIKSEMI ARMOR BLACK (HSC408U32D2)Recommend,10.00,25.6,25.6,1990,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader"
DDR4,RAM DDR4(3200) 8GB BLACKBERRY 8 CHIP,13.75,25.6,25.6,1920,"CL22 | 1.2V | JEDEC | Non-ECC Unbuffered | Bare PCB"
DDR4,RAM DDR4(3200) 8GB HIKSEMI FUTURE BLACK RGB (HSC408U32C4),10.00,25.6,25.6,1990,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader | RGB Lighting"
DDR4,RAM DDR4(3200) 8GB HIKSEMI FUTURE WHITE RGB (HSC408U32F4),10.00,25.6,25.6,1990,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader | RGB Lighting"
DDR4,RAM DDR4(3200) 8GB BLACKBERRY MAXIMUS GRAY,10.00,25.6,25.6,2005,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader"
DDR4,RAM DDR4(3200) 8GB BLACKBERRY MAXIMUS,10.00,25.6,25.6,2005,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader"
DDR4,RAM DDR4(3200) 8GB BLACKBERRY ASGARD,10.00,25.6,25.6,2015,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader"
DDR4,RAM DDR4(3200) 8GB KINGSTON VALUE (KVR32N22S8/8),13.75,25.6,25.6,2055,"CL22 | 1.2V | JEDEC | Non-ECC Unbuffered | Single Rank | Bare PCB"
DDR4,RAM DDR4(3200) 8GB HYNIX 8 CHIP,13.75,25.6,25.6,2215,"CL22 | 1.2V | JEDEC | Non-ECC Unbuffered | Bare PCB"
DDR4,RAM DDR4(3200) 8GB KINGSTON FURY BEAST (KF432C16BB/8WP),10.00,25.6,25.6,2255,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Low-Profile Aluminum Heatspreader"
DDR4,RAM DDR4(3200) 8GB KINGSTON FURY BEAST RGB (KF432C16BB2A/8WP),10.00,25.6,25.6,2450,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader | RGB Lighting"
DDR4,RAM DDR4(3200) 16GB LEXAR (LD4AU016G-B3200GSST),13.75,25.6,25.6,3140,"CL22 | 1.2V | JEDEC | Non-ECC Unbuffered | Bare PCB"
DDR4,RAM DDR4(3200) 16GB HIKSEMI (HSC416U32Z1),13.75,25.6,25.6,3190,"CL22 | 1.2V | JEDEC | Non-ECC Unbuffered | Bare PCB"
DDR4,RAM DDR4(3200) 16GB LEXAR THOR OC DARK GREY (LD4BU016G-R3200GSXG),10.00,25.6,25.6,3140,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader"
DDR4,RAM DDR4(3200) 16GB BLACKBERRY 16 CHIP (BBR16G32D16C),13.75,25.6,25.6,3140,"CL22 | 1.2V | JEDEC | Non-ECC Unbuffered | Dual Rank | Bare PCB"
DDR4,RAM DDR4(3200) 16GB BLACKBERRY 8 CHIP,13.75,25.6,25.6,3140,"CL22 | 1.2V | JEDEC | Non-ECC Unbuffered | Single Rank | Bare PCB"
DDR4,RAM DDR4(3200) 16GB HYNIX 8 CHIP,13.75,25.6,25.6,3140,"CL22 | 1.2V | JEDEC | Non-ECC Unbuffered | Single Rank | Bare PCB"
DDR4,RAM DDR4(3200) 16GB HYNIX 16 CHIP,13.75,25.6,25.6,3140,"CL22 | 1.2V | JEDEC | Non-ECC Unbuffered | Dual Rank | Bare PCB"
DDR4,RAM DDR4(3200) 16GB APACER PANTHER GOLDEN (AH4U16G32C28Y7GAA-1),10.00,25.6,25.6,3140,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader"
DDR4,RAM DDR4(3200) 16GB HIKSEMI ARMOR PURPLE (HSC416U32Z2),10.00,25.6,25.6,3250,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader"
DDR4,RAM DDR4(3200) 16GB HIKSEMI ARMOR WHITE (HSC416U32E2),10.00,25.6,25.6,3250,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader"
DDR4,RAM DDR4(3200) 16GB HIKSEMI ARMOR BLACK (HSC416U32D2)Recommend,10.00,25.6,25.6,3290,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader"
DDR4,RAM DDR4(3200) 16GB APACER NOX WHITE (AH4U16G32C28YMWAA-1),10.00,25.6,25.6,3240,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader"
DDR4,RAM DDR4(3200) 16GB APACER NOX BLACK (AH4U16G32C28YMBAA-1),10.00,25.6,25.6,3240,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader"
DDR4,RAM DDR4(3200) 16GB BLACKBERRY MAXIMUS,10.00,25.6,25.6,3240,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader"
DDR4,RAM DDR4(3200) 16GB BLACKBERRY MAXIMUS GRAY,10.00,25.6,25.6,3240,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader"
DDR4,RAM DDR4(3200) 16GB BLACKBERRY ASGARD,10.00,25.6,25.6,3240,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader"
DDR4,RAM DDR4(3200) 16GB BLACKBERRY PRO SERIES BLACK,10.00,25.6,25.6,3240,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader"
DDR4,RAM DDR4(3200) 16GB BLACKBERRY PRO SERIES WHITE,10.00,25.6,25.6,3240,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader"
DDR4,RAM DDR4(3200) 16GB ADATA 16 CHIP (AD4U320016G22-SGN),13.75,25.6,25.6,3335,"CL22 | 1.2V | JEDEC | Non-ECC Unbuffered | Dual Rank | Bare PCB"
DDR4,RAM DDR4(3200) 16GB ADATA D35G XPG WHITE (AX4U320016G16A-SWHD35),10.00,25.6,25.6,3435,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader | RGB Lighting"
DDR4,RAM DDR4(3200) 16GB ADATA D35G XPG BLACK (AX4U320016G16A-SBKD35),10.00,25.6,25.6,3435,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader | RGB Lighting"
DDR4,RAM DDR4(3200) 16GB HIKSEMI FUTURE WHITE RGB (HSC416U32F4),10.00,25.6,25.6,3590,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader | RGB Lighting"
DDR4,RAM DDR4(3200) 16GB APACER NOX RGB BLACK (AH4U16G32C28YNBAA-1),10.00,25.6,25.6,3630,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader | RGB Lighting"
DDR4,RAM DDR4(3200) 16GB KINGBANK KJXS SILVER,10.00,25.6,25.6,3630,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader"
DDR4,RAM DDR4(3200) 16GB ACER UD100 BLACK (ZC.A01ST.0GC),13.75,25.6,25.6,3630,"CL22 | 1.2V | JEDEC | Non-ECC Unbuffered | Bare PCB"
DDR4,RAM DDR4(3200) 16GB KINGSTON VALUE RAM (KVR32N22D8/16WP),13.75,25.6,25.6,3730,"CL22 | 1.2V | JEDEC | Non-ECC Unbuffered | Dual Rank | Bare PCB"
DDR4,RAM DDR4(3200) 16GB CORSAIR VENGEANCE LPX BLACK (CMK16GX4M1E3200C16),10.00,25.6,25.6,3790,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Low-Profile Aluminum Heatspreader"
DDR4,RAM DDR4(3200) 16GB KINGSTON FURY BEAST (KF432C16BB1/16WP),10.00,25.6,25.6,3830,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Single Rank | Low-Profile Aluminum Heatspreader"
DDR4,RAM DDR4(3200) 16GB KINGSTON FURY BEAST RGB (KF432C16BB12A/16WP),10.00,25.6,25.6,3930,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Single Rank | Aluminum Heatspreader | RGB Lighting"
DDR4,RAM DDR4(3200) 16GB (8GBX2) ADATA D35 XPG BLACK (AX4U32008G16A-DTBKD35),10.00,51.2,51.2,3630,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader | Dual Channel Kit"
DDR4,RAM DDR4(3200) 16GB (8GBX2) BLACKBERRY MAXIMUS,10.00,51.2,51.2,3690,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader | Dual Channel Kit"
DDR4,RAM DDR4(3200) 16GB (8GBX2) BLACKBERRY MAXIMUS GRAY,10.00,51.2,51.2,3690,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader | Dual Channel Kit"
DDR4,RAM DDR4(3200) 16GB (8GBX2) CORSAIR VENGEANCE LPX BLACK (CMK16GX4M2E3200C16),10.00,51.2,51.2,3730,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Low-Profile Aluminum Heatspreader | Dual Channel Kit"
DDR4,RAM DDR4(3200) 16GB (8GBX2) APACER NOX RGB BLACK (AH4U16G32C28YNBAA-2),10.00,51.2,51.2,3830,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader | RGB Lighting | Dual Channel Kit"
DDR4,RAM DDR4(3200) 16GB (8GBX2) APACER NOX RGB WHITE (ZC.A01ST.0D7),10.00,51.2,51.2,3830,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader | RGB Lighting | Dual Channel Kit"
DDR4,RAM DDR4(3200) 16GB (8GBX2) KINGBANK KJXS (KBK-KJXS16G32),10.00,51.2,51.2,3930,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader | Dual Channel Kit"
DDR4,RAM DDR4(3200) 16GB (8GBX2) ADATA D35G XPG RGB BLACK (AX4U32008G16A-DTBKD35G),10.00,51.2,51.2,3930,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader | RGB Lighting | Dual Channel Kit"
DDR4,RAM DDR4(3200) 16GB (8GBX2) KINGSTON FURY BEAST (KF432C16BBK2/16WP),10.00,51.2,51.2,3930,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Low-Profile Aluminum Heatspreader | Dual Channel Kit"
DDR4,RAM DDR4(3200) 16GB (8GBX2) KINGSTON FURY BEAST RGB (KF432C16BB2AK2/16WP),10.00,51.2,51.2,4025,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader | RGB Lighting | Dual Channel Kit"
DDR4,RAM DDR4(3200) 16GB (8GBX2) KINGSTON FURY BEAST RGB (KF432C16BB2AK2/16),10.00,51.2,51.2,4025,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader | RGB Lighting | Dual Channel Kit"
DDR4,RAM DDR4(3200) 32GB ADATA 16 CHIP (AD4U320032G22-SGN),13.75,25.6,25.6,6490,"CL22 | 1.2V | JEDEC | Non-ECC Unbuffered | Dual Rank | Bare PCB"
DDR4,RAM DDR4(3200) 32GB (16GBX2) HIKSEMI ARMOR BLACK (HSC432U32D3)Recommend,10.00,51.2,51.2,5890,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader | Dual Channel Kit"
DDR4,RAM DDR4(3200) 32GB (16GBX2) BLACKBERRY MAXIMUS GRAY,10.00,51.2,51.2,5860,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader | Dual Channel Kit"
DDR4,RAM DDR4(3200) 32GB (16GBX2) BLACKBERRY MAXIMUS,10.00,51.2,51.2,5860,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader | Dual Channel Kit"
DDR4,RAM DDR4(3200) 32GB (16GBX2) BLACKBERRY ASGARD (B16G32DASX2),10.00,51.2,51.2,5870,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader | Dual Channel Kit"
DDR4,RAM DDR4(3200) 32GB (16GBx2) BLACKBERRY 3200 PRO SERIES BLACK,10.00,51.2,51.2,6025,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader | Dual Channel Kit"
DDR4,RAM DDR4(3200) 32GB (16GBx2) BLACKBERRY 3200 PRO SERIES WHITE,10.00,51.2,51.2,6025,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader | Dual Channel Kit"
DDR4,RAM DDR4(3200) 32GB (16GBX2) APACER PANTHER GOLDEN (AH4U32G32C28Y7GAA-2),10.00,51.2,51.2,6195,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader | Dual Channel Kit"
DDR4,RAM DDR4(3200) 32GB (16GBX2) CORSAIR VENGEANCE LPX BLACK (CMK32GX4M2E3200C16),10.00,51.2,51.2,6390,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Low-Profile Aluminum Heatspreader | Dual Channel Kit"
DDR4,RAM DDR4(3200) 32GB (16GBX2) KINGSTON FURY BEAST (KF432C16BB1K2/32),10.00,51.2,51.2,7275,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Low-Profile Aluminum Heatspreader | Dual Channel Kit"
DDR4,RAM DDR4(3200) 32GB (16GBX2) KINGSTON FURY BEAST (KF432C16BB1K2/32WP),10.00,51.2,51.2,7275,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Low-Profile Aluminum Heatspreader | Dual Channel Kit"
DDR4,RAM DDR4(3200) 32GB (16GBX2) KINGSTON FURY BEAST RGB (KF432C16BB12AK2/32WP),10.00,51.2,51.2,7375,"CL16 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Aluminum Heatspreader | RGB Lighting | Dual Channel Kit"
DDR4,RAM DDR4(3600) 16GB (8GBX2) KINGSTON FURY BEAST (KF436C17BBK2/16),9.44,57.6,57.6,3950,"CL17 | 1.35V | XMP 2.0 | Non-ECC Unbuffered | Low-Profile Aluminum Heatspreader | Dual Channel Kit"
DDR5,RAM DDR5(4800) 8GB ADATA 4 CHIP (AD5U48008G-S),16.67,38.4,38.4,3950,"CL40 | 1.1V | JEDEC | On-die ECC | PMIC | Bare PCB"
DDR5,RAM DDR5(4800) 16GB APACER (FL.16G2A.PTH),16.67,38.4,38.4,5630,"CL40 | 1.1V | JEDEC | On-die ECC | PMIC | Bare PCB"
DDR5,RAM DDR5(4800) 16GB BLACKBERRY,16.67,38.4,38.4,5930,"CL40 | 1.1V | JEDEC | On-die ECC | PMIC | Bare PCB"
DDR5,RAM DDR5(4800) 16GB ADATA (AD5U480016G-B),16.67,38.4,38.4,6520,"CL40 | 1.1V | JEDEC | On-die ECC | PMIC | Bare PCB"
DDR5,RAM DDR5(5200) 16GB BLACKBERRY MAXIMUS GRAY,15.38,41.6,41.6,6125,"CL40 | 1.25V | XMP 3.0 / EXPO | On-die ECC | PMIC | Aluminum Heatspreader"
DDR5,RAM DDR5(5200) 16GB KINGSTON FURY BEAST RGB WHITE (KF552C40BWA-16),15.38,41.6,41.6,6920,"CL40 | 1.25V | XMP 3.0 / EXPO | On-die ECC | PMIC | Aluminum Heatspreader | RGB Lighting"
DDR5,RAM DDR5(5200) 16GB (8GBX2) KINGSTON FURY BEAST (KF552C40BBK2-16),15.38,83.2,83.2,7415,"CL40 | 1.25V | XMP 3.0 / EXPO | On-die ECC | PMIC | Low-Profile Aluminum Heatspreader | Dual Channel Kit"
DDR5,RAM DDR5(5200) 16GB (8GBX2) CORSAIR VENGEANCE BLACK (CMK16GX5M2B5200Z40),15.38,83.2,83.2,7510,"CL40 | 1.25V | XMP 3.0 / EXPO | On-die ECC | PMIC | Aluminum Heatspreader | Dual Channel Kit"
DDR5,RAM DDR5(5200) 32GB KINGSTON FURY BEAST (KF552C40BB-32),15.38,41.6,41.6,11870,"CL40 | 1.25V | XMP 3.0 / EXPO | On-die ECC | PMIC | Low-Profile Aluminum Heatspreader | Dual Rank"
DDR5,RAM DDR5(5200) 32GB (16GBX2) BLACKBERRY MAXIMUS GRAY,15.38,83.2,83.2,10295,"CL40 | 1.25V | XMP 3.0 / EXPO | On-die ECC | PMIC | Aluminum Heatspreader | Dual Channel Kit"
DDR5,RAM DDR5(5200) 32GB (16GBX2) BLACKBERRY 5200 PRO SERIES WHITE,15.38,83.2,83.2,10395,"CL40 | 1.25V | XMP 3.0 / EXPO | On-die ECC | PMIC | Aluminum Heatspreader | Dual Channel Kit"
DDR5,RAM DDR5(5200) 32GB (16GBX2) BLACKBERRY 5200 PRO SERIES BLACK,15.38,83.2,83.2,10395,"CL40 | 1.25V | XMP 3.0 / EXPO | On-die ECC | PMIC | Aluminum Heatspreader | Dual Channel Kit"
DDR5,RAM DDR5(5200) 32GB (16GBX2) APACER NOX (AH5U32G52C502MBAA-2),15.38,83.2,83.2,11780,"CL40 | 1.25V | XMP 3.0 / EXPO | On-die ECC | PMIC | Aluminum Heatspreader | Dual Channel Kit"
DDR5,RAM DDR5(5200) 32GB (16GBX2) APACER GAMING BLACK (AH5U32G52C5227BAA-2),15.38,83.2,83.2,11780,"CL40 | 1.25V | XMP 3.0 / EXPO | On-die ECC | PMIC | Aluminum Heatspreader | Dual Channel Kit"
DDR5,RAM DDR5(5200) 32GB (16GBX2) APACER GAMING BLACK (AH5U32G52C5027BAA-2),15.38,83.2,83.2,11780,"CL40 | 1.25V | XMP 3.0 / EXPO | On-die ECC | PMIC | Aluminum Heatspreader | Dual Channel Kit"
DDR5,RAM DDR5(5200) 32GB (16GBX2) ZADAK SPARK RGB (ZD5-SPR52C50-32G2W2),15.38,83.2,83.2,11870,"CL40 | 1.25V | XMP 3.0 / EXPO | On-die ECC | PMIC | Aluminum Heatspreader | RGB Lighting | Dual Channel Kit"
DDR5,RAM DDR5(5200) 32GB (16GBX2) KINGSTON FURY BEAST RGB WHITE (KF552C40BWAK2-32),15.38,83.2,83.2,12860,"CL40 | 1.25V | XMP 3.0 / EXPO | On-die ECC | PMIC | Aluminum Heatspreader | RGB Lighting | Dual Channel Kit"
DDR5,RAM DDR5(5200) 64GB (32GBX2) KINGSTON FURY BEAST (KF552C40BBK2-64),15.38,83.2,83.2,20690,"CL40 | 1.25V | XMP 3.0 / EXPO | On-die ECC | PMIC | Low-Profile Aluminum Heatspreader | Dual Rank | Dual Channel Kit"
DDR5,RAM DDR5(5600) 8GB KINGSTON FURY BEAST BLACK (KF556C40BB-8),14.29,44.8,44.8,3510,"CL40 | 1.25V | XMP 3.0 / EXPO | On-die ECC | PMIC | Low-Profile Aluminum Heatspreader"
DDR5,RAM DDR5(5600) 16GB (8GBX2) KINGSTON FURY BEAST (KF556C40BBK2-16),14.29,89.6,89.6,8500,"CL40 | 1.25V | XMP 3.0 / EXPO | On-die ECC | PMIC | Low-Profile Aluminum Heatspreader | Dual Channel Kit"
DDR5,RAM DDR5(5600) 32GB (16GBX2) KINGBANK KJUS,12.86,89.6,89.6,11175,"CL36/40 | 1.25V | XMP 3.0 / EXPO | On-die ECC | PMIC | Aluminum Heatspreader | Dual Channel Kit"
DDR5,RAM DDR5(5600) 32GB (16GBX2) CORSAIR VENGEANCE BLACK (CMK32GX5M2B5600C40),14.29,89.6,89.6,11780,"CL40 | 1.25V | XMP 3.0 / EXPO | On-die ECC | PMIC | Aluminum Heatspreader | Dual Channel Kit"
DDR5,RAM DDR5(5600) 32GB (16GBX2) CORSAIR VENGEANCE WHITE (CMK32GX5M2B5600C40W),14.29,89.6,89.6,11780,"CL40 | 1.25V | XMP 3.0 / EXPO | On-die ECC | PMIC | Aluminum Heatspreader | Dual Channel Kit"
DDR5,RAM DDR5(5600) 32GB (16GBX2) CORSAIR VENGEANCE RGB BLACK (CMH32GX5M2B5600C40K),14.29,89.6,89.6,12770,"CL40 | 1.25V | XMP 3.0 / EXPO | On-die ECC | PMIC | Aluminum Heatspreader | RGB Lighting | Dual Channel Kit"
DDR5,RAM DDR5(5600) 96GB (48GBX2) G.SKILL TRIDENT Z5 NEO RGB BLACK (F5-5600J4040D48GX,14.29,89.6,89.6,65835,"CL40 | 1.25V | EXPO | On-die ECC | PMIC | Aluminum Heatspreader | RGB Lighting | Dual Channel Kit | High Capacity 24Gbit ICs"
DDR5,RAM DDR5(5600) 96GB (48GBX2) G.SKILL TRIDENT Z5 RGB BLACK (F5-5600J4040D48GX2-TZ,14.29,89.6,89.6,74150,"CL40 | 1.25V | XMP 3.0 | On-die ECC | PMIC | Aluminum Heatspreader | RGB Lighting | Dual Channel Kit | High Capacity 24Gbit ICs"
DDR5,RAM DDR5(6400) 32GB (16GBX2) ZADAK SPARK RGB (ZD5-SPR64C55-32G2W2),10.00,102.4,102.4,16730,"CL32/36 | 1.35V/1.4V | XMP 3.0 / EXPO | On-die ECC | PMIC | Aluminum Heatspreader | RGB Lighting | Dual Channel Kit"
DDR5,RAM DDR5(6400) 32GB (16GBX2) CORSAIR VENGEANCE RGB BLACK (CMH32GX5M2B6400C36),11.25,102.4,102.4,18710,"CL36 | 1.4V | XMP 3.0 / EXPO | On-die ECC | PMIC | Aluminum Heatspreader | RGB Lighting | Dual Channel Kit"
DDR5,RAM DDR5(6400) 64GB (32GBX2) KINGSTON FURY BEAST RGB (KF564C32BBEAK2-64),10.00,102.4,102.4,28610,"CL32 | 1.4V | XMP 3.0 / EXPO | On-die ECC | PMIC | Aluminum Heatspreader | RGB Lighting | Dual Rank | Dual Channel Kit"
