cpu,mb,gpu,ram,psu,storage,total_price,benchmark_cpu,passmark_gpu,cpu_scaled,gpu_scaled,final_score,level
Intel Core i3-8100T @ 3.10GHz,MAINBOARD (1151V2) LONGWELL H310-D4N V3 DDR4,Radeon RX 6750 XT,RAM DDR4(3200) 16GB APACER NOX WHITE (AH4U16G32C28YMWAA-1) x1,POWER SUPPLY (80+ GOLD) 850W DTECH PW072A,500 GB SSD M.2 PCIe 4.0 KINGSTON NV3 (SNV3S/500G) NVMe M.2 2280,24531.08,5266,20707,0.073039803552053,0.6793864053464456,0.2549437840903708,General Admin
Intel Core i3-9100F @ 3.60GHz,MAINBOARD (1151V2) LONGWELL H310-D4N V3 DDR4,GeForce RTX 2060 SUPER,RAM DDR4(3200) 16GB APACER NOX WHITE (AH4U16G32C28YMWAA-1) x1,POWER SUPPLY 450W DTECH PW029 (B/P),256 GB SSD M.2 PCIe 3.0 HIKSEMI WAVE (HS-SSD-WAVE(P) 256G) NVMe M.2 2280,17426.6888,6703,16489,0.09355547941294043,0.5333287163682954,0.2254874504995469,General Admin
AMD Ryzen 9 3950X,MAINBOARD (AM4) GIGABYTE B550M GAMING X WIFI6 DDR4 (REV. 1.0),Radeon RX 6700S,RAM DDR4(3200) 32GB (16GBX2) APACER PANTHER GOLDEN (AH4U32G32C28Y7GAA-2) x2,POWER SUPPLY (80+ GOLD) 750W ANTEC GSK V2,2 TB SSD M.2 PCIe 5.0 LEXAR NQ790 NVMe M.2 2280,50874.1256,38479,15080,0.547213180286677,0.4845389383288895,0.5284109076993407,Smart Office
Intel Core i7-9800X @ 3.80GHz,MAINBOARD (1151V2) LONGWELL H310-D4N V3 DDR4,Radeon Pro WX 4150,RAM DDR4(3200) 16GB (8GBX2) KINGSTON FURY BEAST (KF432C16BBK2/16WP) x2,POWER SUPPLY (80+ GOLD) 1000W SEGOTEP GM1000W,500 GB SSD M.2 PCIe 4.0 WD SN5000 BLUE (WDS500G4B0E) NVMe M.2 2280,44710.1168,18145,2579,0.25690994232196906,0.051663838775580874,0.19533611125805259,General Admin
Intel Xeon E3-1245 v6 @ 3.70GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Intel Arc A770,RAM DDR4(3200) 16GB HYNIX 8 CHIP x1,POWER SUPPLY (80+ BRONZE) 650W SILVERSTONE ATTIS 650R (SST-AT650R-BF-WBW),2 TB SSD M.2 PCIe 4.0 WD SN5000 BLUE (WDS200T4B0E) NVMe M.2 2280,27934.8776,8691,13347,0.12193763919821826,0.4245299352470654,0.2127153280128724,General Admin
Intel Core i7-10700TE @ 2.00GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Radeon Pro WX 5100,RAM DDR4(3200) 16GB LEXAR THOR OC DARK GREY (LD4BU016G-R3200GSXG) x2,POWER SUPPLY (80+ GOLD) 1000W NZXT BLACK (PA-0G2BB-US),500 GB SSD M.2 PCIe 3.0 WD GREEN SN350 (WDS500G2G0C) NVMe M.2 2280,39259.6,13505,5466,0.19066586716920791,0.15163267426157417,0.17895590929691776,General Admin
AMD Athlon 2600+,MAINBOARD (AM4) ASROCK B550M PHANTOM GAMING4,Tesla P40,RAM DDR4(3200) 16GB LEXAR (LD4AU016G-B3200GSST) x2,POWER SUPPLY (80+ BRONZE) 550W ITSONAS DARK FOREST WHITE SFX,1 TB SSD M.2 PCIe 3.0 SANDISK PLUS G26 (SDSSDA3N-1T00-G26) NVMe M.2 2280,33909.844,289,11595,0.001984466906515904,0.3638630146473216,0.11054803122875762,General Admin
AMD Athlon 2800+,MAINBOARD (AM4) ASROCK B550M STEEL LEGEND DDR4,GeForce GTX 1050,RAM DDR4(2666) 16GB BLACKBERRY x1,POWER SUPPLY (80+ WHITE) 750W SILVERSTONE (SST-ST750-EF),256 GB SSD M.2 PCIe 3.0 HIKSEMI CITY E3000 (STD) NVMe M.2 2280,15281.644,291,5045,0.002013020387185198,0.13705460715398735,0.04252549641722584,General Admin
Intel Core i5-10500TE @ 2.30GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Radeon RX 590,RAM DDR4(3200) 16GB (8GBX2) KINGBANK KJXS (KBK-KJXS16G32) x1,POWER SUPPLY (CYBENETICS PLATINUM) 850W MONTECH CENTURY II,128 GB SSD M.2 PCIe 3.0 HIKSEMI CITY SSD E1000 NVMe M.2 2280,18008.4,8864,9306,0.12440751527611216,0.284601267356903,0.17246564090034938,General Admin
AMD Ryzen 7 3800XT,MAINBOARD (AM4) ASROCK B550M PHANTOM GAMING4,GeForce GTX 1660 SUPER,RAM DDR4(3200) 32GB (16GBX2) KINGSTON FURY BEAST RGB (KF432C16BB12AK2/32WP) x1,POWER SUPPLY (80+ GOLD) 1000W SEGOTEP GM1000W WHITE,1 TB SSD M.2 PCIe 4.0 SAMSUNG 990 PRO (MZ-V9P1T0BW) NVMe M.2 2280,33102.6,23438,12684,0.3324767289132545,0.40157207659545,0.35320533321791314,General Admin
Intel Core i7-14701TE,MAINBOARD (1700) ASUS B760M-AYW WIFI DDR5,GeForce GTX 1650 SUPER,RAM DDR5(5200) 32GB (16GBX2) BLACKBERRY 5200 PRO SERIES BLACK x1,POWER SUPPLY (80+GOLD) 1000W THERMALTAKE TOUGHPOWER GT SNOW (PS-TPT-1000FNFAGE-W),512 GB SSD M.2 PCIe 4.0 HIKSEMI FUTURE LITE NVMe M.2 2280,37554.04,26039,10186,0.3696105305236708,0.3150732366079158,0.3532493423489443,General Admin
Intel Core i3-10300 @ 3.70GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,GeForce RTX 3080 Ti,RAM DDR4(3200) 32GB (16GBX2) CORSAIR VENGEANCE LPX BLACK (CMK32GX4M2E3200C16) x2,POWER SUPPLY (80+ BRONZE) 500W ITSONAS AURORA ARGB,2 TB SSD M.2 PCIe 4.0 KINGSTON NV3 (SNV3S/2000G) NVMe M.2 2280,44334.6328,9290,26795,0.13048940665867167,0.8901970289829981,0.35840169335596955,General Admin
Intel Xeon E-2436,MAINBOARD (1700) ASROCK B760M PRO RS WIFI DDR5,Tesla P4,RAM DDR5(5200) 16GB BLACKBERRY MAXIMUS GRAY x1,POWER SUPPLY (80+ WHITE) 650W MONTECH AP650,500 GB SSD M.2 PCIe 4.0 KINGSTON NV3 (SNV3S/500G) NVMe M.2 2280,28867.28,21708,9158,0.30777796813431557,0.2794764361646872,0.29928750854342706,General Admin
Intel Core i3-9100F @ 3.60GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),GeForce RTX 2080 SUPER,RAM DDR4(3200) 16GB (8GBX2) BLACKBERRY MAXIMUS GRAY x1,POWER SUPPLY (FULL) 500W DTECH PW007,1 TB SSD M.2 PCIe 4.0 KINGSTON NV3 (SNV3S/1000G) NVMe M.2 2280,24201.6888,6703,19460,0.09355547941294043,0.636206239828249,0.256350707537533,General Admin
AMD Athlon 7850 Dual-Core,MAINBOARD (AM4) ASROCK B550M-ITX/AC DDR4,GeForce GTX 1660 Ti,RAM DDR4(3200) 16GB (8GBX2) KINGSTON FURY BEAST RGB (KF432C16BB2AK2/16) x1,POWER SUPPLY (80+ GOLD) 850W MSI MAG A850GN PCIE5,1 TB SSD M.2 PCIe 4.0 SAMSUNG 990 PRO (MZ-V9P1T0BW) NVMe M.2 2280,25093.32,1058,12681,0.012963280223859288,0.4014681948820943,0.12951475462132978,General Admin
Intel Core i9-13900F,MAINBOARD (1700) BIOSTAR H610MHC 2.0 DDR4 (REV. 2.0),Quadro P400,RAM DDR4(3200) 16GB (8GBX2) KINGBANK KJXS (KBK-KJXS16G32) x2,POWER SUPPLY (80+ GOLD) 850W SILVERSTONE DA850W (SST-DA850R-GMA),1 TB SSD M.2 PCIe 4.0 HIKSEMI FUTURE NVMe M.2 2280,40970.6464,48517,1661,0.6905230997658615,0.019876034488728836,0.48932898018272164,Smart Office
Intel Core i9-13900KS,MAINBOARD (1700) GIGABYTE B760M D3HP WIFI6 DDR5 (rev. 1.0),Quadro P3200,RAM DDR5(5200) 32GB (16GBX2) APACER GAMING BLACK (AH5U32G52C5027BAA-2) x2,POWER SUPPLY (80+ GOLD) 850W MSI MAG A850GL PCIE5,1 TB SSD M.2 PCIe 4.0 WD BLACK SN7100 (WDS100T4X0E) NVMe M.2 2280,63943.1976,60519,8488,0.8618725372622923,0.2562761868485751,0.6801936321381772,Dev & Data Pro
Intel Core i3-9100HL @ 1.60GHz,MAINBOARD (1151V2) GIGABYTE H310M M.2 2.0 DDR4 (REV. 1.3),Radeon RX 7600,RAM DDR4(3200) 16GB LEXAR THOR OC DARK GREY (LD4BU016G-R3200GSXG) x1,POWER SUPPLY (80+ BRONZE) 850W ITSONAS FROZEN,1 TB SSD M.2 PCIe 4.0 HIKSEMI FUTURE LITE NVMe M.2 2280,27422.0,3454,16544,0.047170350065673,0.5352332144464836,0.19358920937991617,General Admin
Intel Xeon E3-1558L v5 @ 1.90GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon RX 6800,RAM DDR4(3200) 32GB (16GBX2) BLACKBERRY MAXIMUS x2,POWER SUPPLY (80+ BRONZE) 650W SILVERSTONE ATTIS 650R (SST-AT650R-BF-WBW),1 TB SSD M.2 PCIe 3.0 WD RED NAS SN700 (WDS100T1R0C) NVMe M.2 2280,47673.520000000004,7634,22032,0.10684712466449658,0.7252674954118911,0.2923732358887149,General Admin
Intel Xeon E3-1275 v6 @ 3.80GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Tesla M10,RAM DDR4(2666) 16GB HYNIX 16 CHIP x2,POWER SUPPLY (80+ GOLD) 850W ANTEC GSK V2,1 TB SSD M.2 PCIe 3.0 WD RED NAS SN700 (WDS100T1R0C) NVMe M.2 2280,40397.324,9198,2968,0.12917594654788417,0.06513383427403996,0.1099633128657309,General Admin
Intel Core i7-8665UE @ 1.70GHz,MAINBOARD (1151V2) GIGABYTE H310M M.2 2.0 DDR4 (REV. 1.3),Radeon R9 350,RAM DDR4(3200) 32GB (16GBx2) BLACKBERRY 3200 PRO SERIES BLACK x2,POWER SUPPLY (80+ WHITE) 650W THERMALTAKE TR2 S (PS-TRS-0650NNSAWE-H),1 TB SSD M.2 PCIe 4.0 HIKSEMI FUTURE LITE NVMe M.2 2280,42708.08,4852,2005,0.06712923305350921,0.03178780428685204,0.05652680442351206,General Admin
Intel Core i7-12800HE,MAINBOARD (1700) ASUS TUF GAMING B760M-PLUS WIFI II (DDR5),GeForce RTX 3050 8GB,RAM DDR5(5200) 16GB KINGSTON FURY BEAST RGB WHITE (KF552C40BWA-16) x2,POWER SUPPLY (80+ GOLD) 1000W COOLER MASTER ELITE GOLD 1000 (MPW-A001-AFAG-BEU),1 TB SSD M.2 PCIe 4.0 WD SN5000 BLUE (WDS100T4B0E) NVMe M.2 2280,48186.72,26096,12509,0.3704243047227457,0.3955123099830327,0.3779507063008318,General Admin
Intel Core i5-12500T,MAINBOARD (1700) BIOSTAR H610MHC 2.0 DDR4 (REV. 2.0),GeForce GTX 950,RAM DDR4(2666) 8GB APACER 8 CHIP (EL.08G2V.GNH) x2,POWER SUPPLY (FULL) 600W AEROCOOL SUPERB,1 TB SSD M.2 PCIe 4.0 SAMSUNG 990 EVO PLUS (MZ-V9S1T0BW) NVMe M.2 2280,19376.239999999998,16347,5354,0.2312403632002741,0.1477544236296271,0.20619458132907997,General Admin
Intel Xeon E E-2434,MAINBOARD (1700) ASUS PRIME B760M-A DDR5,GeForce RTX 3060 Ti,RAM DDR5(5600) 32GB (16GBX2) CORSAIR VENGEANCE WHITE (CMK32GX5M2B5600C40W) x2,POWER SUPPLY (80+ GOLD) 650W GIGABYTE PG5 (PCIE 5.1),1 TB SSD M.2 PCIe 3.0 WD RED NAS SN700 (WDS100T1R0C) NVMe M.2 2280,50914.72,15137,20287,0.21396550739535147,0.664842965476644,0.3492287448197392,General Admin
Intel Core i7-6700T @ 2.80GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon RX 6700 XT,RAM DDR4(3200) 16GB HIKSEMI ARMOR BLACK (HSC416U32D2)Recommend x1,POWER SUPPLY (80+ BRONZE) 750W MSI MAG A750BN PCIE5,1 TB SSD M.2 PCIe 4.0 SAMSUNG 990 PRO (MZ-V9P1T0BW) NVMe M.2 2280,26310.88,6990,19734,0.09765290388898407,0.6456941029814053,0.2620652636167104,General Admin
Intel Core i3-7100 @ 3.90GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce RTX 3070,RAM DDR4(3600) 16GB (8GBX2) KINGSTON FURY BEAST (KF436C17BBK2/16) x1,POWER SUPPLY (80+GOLD) 1000W THERMALTAKE TOUGHPOWER GT SNOW (PS-TPT-1000FNFAGE-W),1 TB SSD M.2 PCIe 5.0 WD BLACK SN8100 (WDS100T1X0M) NVMe M.2 2280,29277.2912,4311,22138,0.059405516532465306,0.7289379826171267,0.26026525635786374,General Admin
Intel Xeon E-2436,MAINBOARD (1700) ASUS H610M-K DDR5,Radeon Pro WX 4100,RAM DDR5(5600) 16GB (8GBX2) KINGSTON FURY BEAST (KF556C40BBK2-16) x2,POWER SUPPLY (80+BRONZE) 750W ASUS PRIME (90YE00Y0-B0DA00),128 GB SSD M.2 PCIe 3.0 HIKSEMI CITY SSD E1000 NVMe M.2 2280,49877.28,21708,3683,0.30777796813431557,0.08989230929048792,0.24241227048116726,General Admin
AMD Athlon 220GE,MAINBOARD (AM4) ASROCK B550M PHANTOM GAMING4,Radeon RX 6500 XT,RAM DDR4(3200) 16GB (8GBX2) ADATA D35G XPG RGB BLACK (AX4U32008G16A-DTBKD35G) x1,POWER SUPPLY (80+ GOLD) 1200W ASUS TUF GAMING 1200G,256 GB SSD M.2 PCIe 3.0 HIKSEMI WAVE (HS-SSD-WAVE(P) 256G) NVMe M.2 2280,27719.752,4444,9630,0.061304322996973325,0.29582049239932134,0.13165917381767772,General Admin
Intel Core i3-10105T @ 3.00GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Tesla M40,RAM DDR4(3200) 32GB (16GBX2) BLACKBERRY MAXIMUS GRAY x2,POWER SUPPLY (80+ BRONZE) 750W DTECH PW071A,500 GB SSD M.2 PCIe 4.0 KINGSTON NV3 (SNV3S/500G) NVMe M.2 2280,41065.4888,7796,10219,0.10915995659870939,0.3162159354548288,0.1712767502555452,General Admin
Intel Xeon E-2456,MAINBOARD (1700) ASROCK B760M-H2/M.2 DDR5,GeForce RTX 5070,RAM DDR5(5600) 32GB (16GBX2) CORSAIR VENGEANCE RGB BLACK (CMH32GX5M2B5600C40K) x2,POWER SUPPLY (80+ PLATINUM) 850W SEGOTEP PM 850W,1 TB SSD M.2 PCIe 4.0 KLEVV CRAS C925G (K01TBM2SP0-25G) NVMe M.2 2280,71900.0,20705,28788,0.2934583975786648,0.9592091138889851,0.4931836124717609,Smart Office
AMD Ryzen 5 PRO 4655G,MAINBOARD (AM4) ASROCK B550M STEEL LEGEND DDR4,GeForce RTX 2060 SUPER,RAM DDR4(3200) 16GB HIKSEMI ARMOR WHITE (HSC416U32E2) x1,POWER SUPPLY (80+ GOLD) 1200W ASUS TUF GAMING 1200G,512 GB SSD M.2 PCIe 3.0 HIKSEMI CITY E3000 (STD) NVMe M.2 2280,30122.5384,16181,16489,0.22887042430472274,0.5333287163682954,0.3202079119237945,General Admin
Intel Core i5-8365UE @ 1.60GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),Radeon RX 9070,RAM DDR4(3200) 16GB HIKSEMI ARMOR WHITE (HSC416U32E2) x2,POWER SUPPLY (80+ BRONZE) 550W ITSONAS DARK FOREST WHITE SFX,1 TB SSD M.2 PCIe 5.0 WD BLACK SN8100 (WDS100T1X0M) NVMe M.2 2280,49032.64,5504,25403,0.07643766775169894,0.8419959139859414,0.30610514162197167,General Admin
Intel Core i5-7440EQ @ 2.90GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce RTX 3090,RAM DDR4(3200) 16GB APACER NOX RGB BLACK (AH4U16G32C28YNBAA-1) x2,POWER SUPPLY (FULL) 650W VIKINGS VK,1 TB SSD M.2 PCIe 4.0 SAMSUNG 990 PRO (MZ-V9P1T0BW) NVMe M.2 2280,47480.0,5711,26557,0.07939295300097082,0.8819557463901105,0.3201617910177127,General Admin
AMD Ryzen 7 5700G,MAINBOARD (AM4) GIGABYTE A520M S2H DDR4 (REV. 1.3),RTX A1000,RAM DDR4(3200) 32GB ADATA 16 CHIP (AD4U320032G22-SGN) x2,POWER SUPPLY (80+ GOLD) 1350W THERMALTAKE TOUGHPOWER GF3,500 GB SSD M.2 PCIe 4.0 GIGABYTE AORUS 5000E (AG450E500G-G 1.1),51022.880000000005,24317,10781,0.34502598366740905,0.3356764430901347,0.34222112149422673,General Admin
Intel Core i5-12500TE,MAINBOARD (1700) MSI PRO B760M-E DDR5,Radeon Pro W5700,RAM DDR5(5200) 16GB KINGSTON FURY BEAST RGB WHITE (KF552C40BWA-16) x2,POWER SUPPLY (CYBENETICS PLATINUM) 1000W CORSAIR RM1000E WHITE (CP-9020294-NA),256 GB SSD M.2 PCIe 3.0 HIKSEMI WAVE (HS-SSD-WAVE(P) 256G) NVMe M.2 2280,52359.6,15440,14182,0.21829135971674946,0.45344367879774233,0.2888370554410473,General Admin
Intel Core i3-7300 @ 4.00GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon RX 7600,RAM DDR4(3200) 16GB HYNIX 16 CHIP x1,POWER SUPPLY (80+ BRONZE) 750W EINARE AXIS MASTER L1 Black (EXPS-AMH1-750-BK),1 TB SSD M.2 PCIe 5.0 SAMSUNG 9100 PRO (MZ-VAP1T0BW) NVMe M.2 2280,24573.9784,4519,16544,0.06237507852207184,0.5352332144464836,0.20423251929939534,General Admin
Intel Core i9-14901E,MAINBOARD (1700) ASROCK B760M PG LIGHTNING WIFI DDR5,GeForce GTX 1080,RAM DDR5(5200) 16GB KINGSTON FURY BEAST RGB WHITE (KF552C40BWA-16) x2,POWER SUPPLY (80+ GOLD) 850W SEGOTEP GM850W WHITE,1 TB SSD M.2 PCIe 3.0 HIKSEMI CITY E3000 NVMe M.2 2280,47478.84,30298,15612,0.4304151676089315,0.5029606288306382,0.45217880597544347,Smart Office
Intel Core i3-10305T @ 3.00GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,Radeon R9 Fury,RAM DDR4(3200) 16GB APACER PANTHER GOLDEN (AH4U16G32C28Y7GAA-1) x2,POWER SUPPLY (80+ GOLD) 1000w. ASUS TUF GAMING 1000G WHITE,256 GB SSD M.2 PCIe 3.0 HIKSEMI CITY E3000 (STD) NVMe M.2 2280,36250.16,8512,9515,0.11938210267831648,0.29183836005401853,0.1711189798910271,General Admin
