cpu,mb,gpu,ram,psu,storage,total_price,benchmark_cpu,passmark_gpu,cpu_scaled,gpu_scaled,final_score,level
Intel Core i7-12800HE,MAINBOARD (1700) ASROCK B760M PRO RS DDR5,Radeon Pro Duo,RAM DDR5(5600) 32GB (16GBX2) KINGBANK KJUS x2 (Total: 64.0GB),POWER SUPPLY 620W ITSONAS KINGKONG,1 TB SSD M.2 PCIe 4.0 KLEVV CRAS C925G (K01TBM2SP0-25G) NVMe M.2 2280 (1 TB),187406.72,26096,8298,0.32512013712466714,0.178141020479373,0.24428162296975536,Entry Creator
Intel Core i7-13700KF,MAINBOARD (1700) GIGABYTE H610M S2H V2 DDR4 (REV. 1.0),RTX A5000,RAM DDR4(3200) 16GB (8GBX2) CORSAIR VENGEANCE LPX BLACK (CMK16GX4M2E3200C16) x2 (Total: 32.0GB),POWER SUPPLY (80+ BRONZE) 750W SEGOTEP BN750W ID PCIE 5.1 ATX3.1,1 TB SSD M.2 PCIe 4.0 HIKSEMI FUTURE LITE NVMe M.2 2280 (1 TB),106936.592,45649,23015,0.6243610541458786,0.5731540381673242,0.5961971953576737,Pro Creator
Intel Core i7-9700K @ 3.60GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),Radeon Pro WX 5100,RAM DDR4(3200) 32GB (16GBX2) KINGSTON FURY BEAST (KF432C16BB1K2/32) x2 (Total: 64.0GB),POWER SUPPLY (80+ BRONZE) 750W COOLER MASTER MWE V2 230V (MPE-7501-ACABW-BTH),1 TB SSD M.2 PCIe 4.0 HIKSEMI FUTURE LITE NVMe M.2 2280 (1 TB),40361.68,14402,5466,0.14615408160142018,0.10212845908151488,0.12193998921547228,Entry Creator
Intel Core i7-13700E,MAINBOARD (1700) ASUS B760M-AYW WIFI DDR5,RTX A400,RAM DDR5(5200) 32GB (16GBX2) ZADAK SPARK RGB (ZD5-SPR52C50-32G2W2) x2 (Total: 64.0GB),POWER SUPPLY (80+ GOLD) 850W ANTEC GSK V2,1 TB SSD M.2 PCIe 4.0 SAMSUNG 990 EVO PLUS (MZ-V9S1T0BW) NVMe M.2 2280 (1 TB),56636.8,33834,5990,0.44354320345260323,0.11619293018761573,0.2635005531568601,Entry Creator
Intel Core i9-7960X @ 2.80GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Quadro RTX 8000,RAM DDR4(3200) 32GB (16GBX2) APACER PANTHER GOLDEN (AH4U32G32C28Y7GAA-2) x2 (Total: 64.0GB),POWER SUPPLY (80+ PLATINUM) 750W ASUS ROG-LOKI-750P,1 TB SSD M.2 PCIe 4.0 SANDISK EXTREME G26 (SDSSDX3N-1T00-G26) NVMe M.2 2280 (1 TB),170031.1608,27639,19911,0.3487343515656086,0.4898408352792764,0.4263429176081259,Entry Creator
Intel Core i9-14900KS,MAINBOARD (1700) ASROCK B760M PG LIGHTNING WIFI DDR5,GeForce RTX 4070 Ti,RAM DDR5(5200) 16GB BLACKBERRY MAXIMUS GRAY x2 (Total: 32.0GB),POWER SUPPLY (80+ GOLD) 1000W SEGOTEP GM1000W,2 TB SSD M.2 PCIe 5.0 LEXAR NQ790 NVMe M.2 2280 (2 TB),77836.0728,60309,31568,0.8487190474732943,0.8027216362025927,0.8234204712744084,Ultimate Workstation
Intel Core i9-10900K @ 3.70GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,GeForce RTX 5090,RAM DDR4(3200) 16GB BLACKBERRY 8 CHIP x2 (Total: 32.0GB),POWER SUPPLY (CYBENETICS GOLD) 750W EINAREX NEXUS MASTER L1 BLACK (EXPS-NL1-750-BK),1 TB SSD M.2 PCIe 4.0 KLEVV CRAS C910G (K01TBM2SP0-10G) NVMe M.2 2280 (1 TB),162328.3344,22325,38918,0.267408405007499,1.0,0.6703337822533746,Pro Creator
Intel Core i9-11900KF @ 3.50GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,Radeon RX 7900 GRE,RAM DDR4(2666) 16GB (8GBX2) BLACKBERRY MAXIMUS x2 (Total: 32.0GB),POWER SUPPLY (80+ GOLD) 850W COOLER MASTER MWE V3 (MPE-8506-ACAG-BTH),1 TB SSD M.2 PCIe 4.0 SANDISK EXTREME G26 (SDSSDX3N-1T00-G26) NVMe M.2 2280 (1 TB),51071.68,24544,27291,0.30136818585289704,0.6879244168881015,0.5139741129222595,Pro Creator
Intel Core i9-10940X @ 3.30GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,GeForce RTX 3090 Ti,RAM DDR4(2666) 16GB (8GBX2) BLACKBERRY MAXIMUS x2 (Total: 32.0GB),POWER SUPPLY (80+ GOLD) 1000W NZXT BLACK (PA-0G2BB-US),1 TB SSD M.2 PCIe 3.0 WD RED NAS SN700 (WDS100T1R0C) NVMe M.2 2280 (1 TB),65569.68,27651,29325,0.3489180006733801,0.7425181845022412,0.5653981017792538,Pro Creator
Intel Core i7-10700KF @ 3.80GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,RTX A6000,RAM DDR4(3200) 16GB BLACKBERRY MAXIMUS x2 (Total: 32.0GB),POWER SUPPLY (80+ GOLD) 1350W THERMALTAKE TOUGHPOWER GF3,1 TB SSD M.2 PCIe 4.0 HIKSEMI FUTURE NVMe M.2 2280 (1 TB),173800.2808,18352,22795,0.20660524624284532,0.5672491075502589,0.40495936996192283,Entry Creator
Intel Core i9-11900K @ 3.50GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,Quadro P2000,RAM DDR4(3200) 16GB LEXAR THOR OC DARK GREY (LD4BU016G-R3200GSXG) x2 (Total: 32.0GB),POWER SUPPLY (80+ BRONZE) 750W COOLER MASTER MWE V2 230V (MPE-7501-ACABW-BTH),2 TB SSD M.2 PCIe 4.0 KINGSTON NV3 (SNV3S/2000G) NVMe M.2 2280 (2 TB),43815.492,24952,6989,0.3076122555171253,0.14300668330783475,0.21707919080201551,Entry Creator
AMD Ryzen 9 9950X3D,MAINBOARD (AM5) ASROCK X870 PRO RS WIFI DDR5,Quadro M2000,RAM DDR5(5200) 32GB (16GBX2) APACER GAMING BLACK (AH5U32G52C5227BAA-2) x2 (Total: 64.0GB),POWER SUPPLY (80+ BRONZE) 750W SEGOTEP BN750W ID PCIE 5.1 ATX3.1,1 TB SSD M.2 PCIe 3.0 HIKSEMI CITY E3000 NVMe M.2 2280 (1 TB),66639.3608,70194,4034,0.9999999999999999,0.06369272888316288,0.4850310008857395,Entry Creator
Intel Core i9-10920X @ 3.50GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,Quadro P5000,RAM DDR4(3200) 16GB (8GBX2) APACER NOX RGB BLACK (AH4U16G32C28YNBAA-2) x2 (Total: 32.0GB),POWER SUPPLY (80+ WHITE) 650W MONTECH AP650,1 TB SSD M.2 PCIe 4.0 KLEVV CRAS C910G (K01TBM2SP0-10G) NVMe M.2 2280 (1 TB),92194.2104,25818,12637,0.32086559946129595,0.2946023566041281,0.30642081588985365,Entry Creator
AMD Ryzen 7 5700G,MAINBOARD (AM4) LONGWELL B450M-VDH DDR4,Quadro P620,RAM DDR4(3200) 16GB APACER NOX WHITE (AH4U16G32C28YMWAA-1) x2 (Total: 32.0GB),POWER SUPPLY (80+ GOLD) 750W ASUS TUF GAMING 750G,1 TB SSD M.2 PCIe 4.0 KLEVV CRAS C910G (K01TBM2SP0-10G) NVMe M.2 2280 (1 TB),42572.880000000005,24317,3703,0.2978941568975544,0.05480849236385108,0.16419704140401759,Entry Creator
AMD Ryzen 7 9700X,MAINBOARD (AM5) GIGABYTE X870E AORUS ELITE X3D ICE DDR5 (REV. 1.0),Quadro M2000,RAM DDR5(5200) 32GB (16GBX2) BLACKBERRY 5200 PRO SERIES WHITE x2 (Total: 64.0GB),POWER SUPPLY (CYBENETICS PLATINUM) 1000W CORSAIR RM1000E (CP-9020297-NA),1 TB SSD M.2 PCIe 3.0 HIKSEMI CITY E3000 NVMe M.2 2280 (1 TB),59904.2968,37087,4034,0.49332741575097183,0.06369272888316288,0.2570283379736769,Entry Creator
Intel Xeon E3-1585L v5 @ 3.00GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Quadro P1000,RAM DDR4(3200) 16GB (8GBX2) CORSAIR VENGEANCE LPX BLACK (CMK16GX4M2E3200C16) x2 (Total: 32.0GB),POWER SUPPLY (80+ GOLD) 1250W SEGOTEP GM1250W,1 TB SSD M.2 PCIe 3.0 WD RED NAS SN700 (WDS100T1R0C) NVMe M.2 2280 (1 TB),43478.4,7959,4498,0.047549814820483,0.07614676436642778,0.06327813707075264,Entry Creator
AMD Ryzen 7 PRO 5750GE,MAINBOARD (AM4) ASROCK B450M HDV DDR4 R4.0,Radeon Pro WX 8200,RAM DDR4(3200) 16GB (8GBX2) APACER NOX RGB BLACK (AH4U16G32C28YNBAA-2) x2 (Total: 32.0GB),POWER SUPPLY (80+ GOLD) 1000W ASUS ROG STRIX AURA GAMING 1000G,1 TB SSD M.2 PCIe 4.0 WD BLACK SN7100 (WDS100T4X0E) NVMe M.2 2280 (1 TB),98654.7088,21046,12592,0.2478344709375287,0.2933945298870011,0.2728925033597385,Entry Creator
Intel Core i7-11700 @ 2.50GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,Quadro P6000,RAM DDR4(3200) 32GB (16GBX2) BLACKBERRY ASGARD (B16G32DASX2) x2 (Total: 64.0GB),POWER SUPPLY 620W ITSONAS KINGKONG,1 TB SSD M.2 PCIe 3.0 SANDISK PLUS G26 (SDSSDA3N-1T00-G26) NVMe M.2 2280 (1 TB),144848.19199999998,20642,15555,0.2416516176425576,0.37292320906138443,0.3138509929229124,Entry Creator
Intel Core i9-13900F,MAINBOARD (1700) ASROCK B760M-H2/M.2 DDR5,Radeon Pro 555,RAM DDR5(5600) 32GB (16GBX2) CORSAIR VENGEANCE BLACK (CMK32GX5M2B5600C40) x2 (Total: 64.0GB),POWER SUPPLY (80+ GOLD) 1000W SEGOTEP GM1000W WHITE,2 TB SSD M.2 PCIe 4.0 WD SN5000 BLUE (WDS200T4B0E) NVMe M.2 2280 (2 TB),91720.6464,48517,3140,0.6682531909032475,0.03969723810290684,0.32254741686306015,Entry Creator
AMD Ryzen 9 PRO 7945,MAINBOARD (AM5) GIGABYTE B850 AORUS STEALTH DDR5 (rev. 1.0),Quadro M2000,RAM DDR5(5600) 32GB (16GBX2) KINGBANK KJUS x2 (Total: 64.0GB),POWER SUPPLY (80+ BRONZE) 750W ANTEC ATOM B750,1 TB SSD M.2 PCIe 4.0 HIKSEMI FUTURE LITE NVMe M.2 2280 (1 TB),71802.5136,46933,4034,0.6440115086774203,0.06369272888316288,0.3248361797905787,Entry Creator
Intel Core i9-9960X @ 3.10GHz,MAINBOARD (1151V2) LONGWELL H310-D4N V3 DDR4,Radeon Pro WX 4100,RAM DDR4(3200) 16GB KINGSTON FURY BEAST RGB (KF432C16BB12A/16WP) x2 (Total: 32.0GB),POWER SUPPLY (80+ GOLD) 1000W SEGOTEP GM1000W WHITE,1 TB SSD M.2 PCIe 4.0 WD BLACK SN7100 (WDS100T4X0E) NVMe M.2 2280 (1 TB),42750.8672,29634,3683,0.3792660157326069,0.054271680489572434,0.20051913134893795,Entry Creator
Intel Core i9-13900,MAINBOARD (1700) BIOSTAR H610MHC 2.0 DDR4 (REV. 2.0),GeForce RTX 4080,RAM DDR4(3200) 32GB (16GBx2) BLACKBERRY 3200 PRO SERIES BLACK x2 (Total: 64.0GB),POWER SUPPLY (80+ GOLD) 850W SEGOTEP GM850W WHITE,1 TB SSD M.2 PCIe 4.0 WD SN5000 BLUE (WDS100T4B0E) NVMe M.2 2280 (1 TB),74919.6888,45006,34436,0.6145205227877935,0.8797004589741524,0.7603694876902909,Pro Creator
Intel Core i7-7820HQ @ 2.90GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Quadro GV100,RAM DDR4(3200) 16GB (8GBX2) KINGSTON FURY BEAST RGB (KF432C16BB2AK2/16WP) x2 (Total: 32.0GB),POWER SUPPLY (FULL) 750W ANTEC ATOM V750,1 TB SSD M.2 PCIe 3.0 WD RED NAS SN700 (WDS100T1R0C) NVMe M.2 2280 (1 TB),346083.36,7160,18880,0.0353218450613694,0.4621681831602115,0.27008733101573257,Entry Creator
AMD Ryzen 9 9950X3D,MAINBOARD (AM5) GIGABYTE B850 AORUS ELITE WIFI7 ICE DDR5 (REV. 1.1),RTX A4000,RAM DDR5(6400) 32GB (16GBX2) ZADAK SPARK RGB (ZD5-SPR64C55-32G2W2) x2 (Total: 64.0GB),POWER SUPPLY (80+ GOLD) 850W SILVERSTONE DA850W (SST-DA850R-GMA),1 TB SSD M.2 PCIe 4.0 SAMSUNG 990 PRO (MZ-V9P1T0BW) NVMe M.2 2280 (1 TB),108564.3608,70194,19470,0.9999999999999999,0.47800413345143195,0.7129022733982875,Pro Creator
Intel Core i7-13700K,MAINBOARD (1700) MSI PRO H610M-S DDR4,Quadro GV100,RAM DDR4(3200) 16GB APACER NOX BLACK (AH4U16G32C28YMBAA-1) x2 (Total: 32.0GB),POWER SUPPLY (80+ BRONZE) 750W ITSONAS DARK FOREST SFX,2 TB SSD M.2 PCIe 5.0 LEXAR NQ790 NVMe M.2 2280 (2 TB),353854.88,45744,18880,0.6258149429157357,0.4621681831602115,0.5358092250501973,Pro Creator
Intel Xeon E3-1270 v5 @ 3.60GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),RTX A400,RAM DDR4(3200) 16GB (8GBX2) ADATA D35 XPG BLACK (AX4U32008G16A-DTBKD35) x2 (Total: 32.0GB),POWER SUPPLY (80+ GOLD) 1000W MSI MAG A1000GL PCIE5,1 TB SSD M.2 PCIe 3.0 HIKSEMI CITY E3000 NVMe M.2 2280 (1 TB),38618.044,8319,5990,0.053059288053625545,0.11619293018761573,0.08778279122732015,Entry Creator
Intel Xeon E3-1268L v5 @ 2.40GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Quadro P2200,RAM DDR4(3200) 16GB ADATA D35G XPG BLACK (AX4U320016G16A-SBKD35) x2 (Total: 32.0GB),POWER SUPPLY (80+ GOLD) 850W THERMALTAKE TOUGHPOWER GT,1 TB SSD M.2 PCIe 4.0 WD BLACK SN7100 (WDS100T4X0E) NVMe M.2 2280 (1 TB),46642.5248,6334,9411,0.02268066480977013,0.20801460128298035,0.12461432987003576,Entry Creator
Intel Core i9-13900E,MAINBOARD (1700) GIGABYTE B760M GAMING X GEN5 DDR5 (rev. 1.0),Radeon Pro WX 4150,RAM DDR5(6400) 32GB (16GBX2) CORSAIR VENGEANCE RGB BLACK (CMH32GX5M2B6400C36) x2 (Total: 64.0GB),POWER SUPPLY (80+ GOLD) 850W NZXT BLACK (PA-8G2BB-US),1 TB SSD M.2 PCIe 4.0 HIKSEMI FUTURE NVMe M.2 2280 (1 TB),88810.48,40303,2579,0.5425453766337118,0.024639665029390447,0.2576972352513351,Entry Creator
Intel Core i7-9700KF @ 3.60GHz,MAINBOARD (1151V2) GIGABYTE H310M M.2 2.0 DDR4 (REV. 1.3),GeForce RTX 4070,RAM DDR4(3200) 32GB (16GBX2) BLACKBERRY ASGARD (B16G32DASX2) x2 (Total: 64.0GB),POWER SUPPLY (80+ BRONZE) 750W DTECH PW071A,2 TB SSD M.2 PCIe 4.0 WD SN5000 BLUE (WDS200T4B0E) NVMe M.2 2280 (2 TB),47187.922399999996,14247,26914,0.14378194729270605,0.6778055130579488,0.4374949084635896,Entry Creator
Intel Core i7-8700K @ 3.70GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),Quadro P4000,RAM DDR4(3200) 32GB (16GBX2) HIKSEMI ARMOR BLACK (HSC432U32D3)Recommend x2 (Total: 64.0GB),POWER SUPPLY (80+ GOLD) 850W MSI MAG A850GN PCIE5,2 TB SSD M.2 PCIe 5.0 LEXAR NQ790 NVMe M.2 2280 (2 TB),37916.9384,13572,11445,0.1334516849805638,0.26260836889712,0.20448786113466974,Entry Creator
Intel Xeon E-2488,MAINBOARD (1700) COLORFUL H610M-D V20 DDR5,Quadro M5000,RAM DDR5(5600) 16GB (8GBX2) KINGSTON FURY BEAST (KF556C40BBK2-16) x2 (Total: 32.0GB),POWER SUPPLY (80+ GOLD) 1000W COOLER MASTER ELITE GOLD 1000 (MPW-A001-AFAG-BEU),2 TB SSD M.2 PCIe 5.0 LEXAR NQ790 NVMe M.2 2280 (2 TB),64748.72,31462,9396,0.4072418964831196,0.20761199237727138,0.2974454492249031,Entry Creator
AMD Ryzen 7 5700X,MAINBOARD (AM4) MSI B550M PRO VDH WIFI DDR4,Quadro P6000,RAM DDR4(3200) 16GB ADATA D35G XPG BLACK (AX4U320016G16A-SBKD35) x2 (Total: 32.0GB),POWER SUPPLY (80+ BRONZE) 750W ITSONAS FROZEN,1 TB SSD M.2 PCIe 4.0 HIKSEMI FUTURE LITE NVMe M.2 2280 (1 TB),136345.6888,26604,15555,0.33289461602032383,0.37292320906138443,0.3549103421929072,Entry Creator
Intel Core i7-14701E,MAINBOARD (1700) ASROCK B760M-H2/M.2 DDR5,Radeon Pro SSG,RAM DDR5(5200) 32GB (16GBX2) BLACKBERRY MAXIMUS GRAY x2 (Total: 64.0GB),POWER SUPPLY (80+ PLATINUM) 1300W DEEPCOOL PX1300P,1 TB SSD M.2 PCIe 4.0 KLEVV CRAS C910G (K01TBM2SP0-10G) NVMe M.2 2280 (1 TB),136689.04,26021,10971,0.3239723302010958,0.24988592747671576,0.2832248087026868,Entry Creator
Intel Xeon E3-1225 v6 @ 3.30GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),TITAN V,RAM DDR4(3200) 16GB (8GBX2) KINGSTON FURY BEAST RGB (KF432C16BB2AK2/16) x2 (Total: 32.0GB),POWER SUPPLY (80+ BRONZE) 750W CORSAIR CX750 (CP-9020279-NA),2 TB SSD M.2 PCIe 4.0 WD SN5000 BLUE (WDS200T4B0E) NVMe M.2 2280 (2 TB),49002.0,5780,20072,0.014202197667656333,0.49416217086721953,0.27818018292741614,Entry Creator
Intel Xeon E3-1230 v6 @ 3.50GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon Pro SSG,RAM DDR4(3200) 16GB (8GBX2) KINGSTON FURY BEAST (KF432C16BBK2/16WP) x2 (Total: 32.0GB),POWER SUPPLY (80+GOLD) 1000W THERMALTAKE TOUGHPOWER GT SNOW (PS-TPT-1000FNFAGE-W),1 TB SSD M.2 PCIe 4.0 KINGSTON NV3 (SNV3S/1000G) NVMe M.2 2280 (1 TB),117932.444,8094,10971,0.04961586728291144,0.24988592747671576,0.15976440038950382,Entry Creator
Intel Core i9-14900KF,MAINBOARD (1700) MSI PRO H610M-E DDR5,RTX A5500,RAM DDR5(5600) 32GB (16GBX2) CORSAIR VENGEANCE RGB BLACK (CMH32GX5M2B5600C40K) x2 (Total: 64.0GB),POWER SUPPLY (80+ GOLD) 850W MSI MAG A850GN PCIE5,1 TB SSD M.2 PCIe 4.0 KLEVV CRAS C910G (K01TBM2SP0-10G) NVMe M.2 2280 (1 TB),125611.6088,58328,21216,0.818401640598696,0.5248678100759588,0.6569580338111907,Pro Creator
Intel Core i9-9960X @ 3.10GHz,MAINBOARD (1151V2) LONGWELL H310-D4N V3 DDR4,Radeon Pro 455,RAM DDR4(3200) 16GB (8GBX2) ADATA D35 XPG BLACK (AX4U32008G16A-DTBKD35) x2 (Total: 32.0GB),POWER SUPPLY (80+ GOLD) 850W CORSAIR SERIES RM850E WHITE (CP-9020293-NA),1 TB SSD M.2 PCIe 5.0 SAMSUNG 9100 PRO (MZ-VAP1T0BW) NVMe M.2 2280 (1 TB),41115.8672,29634,3112,0.3792660157326069,0.03894570147891672,0.1920898428930773,Entry Creator
AMD Ryzen 9 9900X,MAINBOARD (AM5) GIGABYTE X870 EAGLE WIFI7 DDR5 (REV. 1.1),TITAN RTX,RAM DDR5(6400) 32GB (16GBX2) CORSAIR VENGEANCE RGB BLACK (CMH32GX5M2B6400C36) x2 (Total: 64.0GB),POWER SUPPLY (80+ SILVER) 550W GIGABYTE P-550SS ICE (GP-550SS),1 TB SSD M.2 PCIe 4.0 KLEVV CRAS C910G (K01TBM2SP0-10G) NVMe M.2 2280 (1 TB),102826.48879999999,54443,20006,0.7589452419576994,0.4923906916821,0.6123402393061197,Pro Creator
AMD Ryzen 9 9900X3D,MAINBOARD (AM5) GIGABYTE X870 AORUS STEALTH DDR5 (REV. 1.0),GeForce RTX 4070 Ti,RAM DDR5(5600) 32GB (16GBX2) CORSAIR VENGEANCE BLACK (CMK32GX5M2B5600C40) x2 (Total: 64.0GB),POWER SUPPLY (80+ GOLD) 1000W SEGOTEP GM1000W WHITE,1 TB SSD M.2 PCIe 4.0 KINGSTON NV3 (SNV3S/1000G) NVMe M.2 2280 (1 TB),90267.28,56262,31568,0.7867833858773836,0.8027216362025927,0.7955494235562487,Pro Creator
Intel Core i7-10700 @ 2.90GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,RTX A4000,RAM DDR4(3200) 16GB (8GBX2) APACER NOX RGB WHITE (ZC.A01ST.0D7) x2 (Total: 32.0GB),POWER SUPPLY (80+ GOLD) 850W SEGOTEP GM850W,1 TB SSD M.2 PCIe 4.0 SAMSUNG 990 EVO PLUS (MZ-V9S1T0BW) NVMe M.2 2280 (1 TB),64024.88,16043,19470,0.17126809708916163,0.47800413345143195,0.3399729170884103,Entry Creator
Intel Core i9-10900E @ 2.80GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,GeForce RTX 5090,RAM DDR4(3200) 16GB HIKSEMI FUTURE WHITE RGB (HSC416U32F4) x2 (Total: 32.0GB),POWER SUPPLY (CYBENETICS GOLD) 1000W EINAREX NEXUS MASTER L1 BLACK (EXPS-NL1-1000-BK),1 TB SSD M.2 PCIe 5.0 SAMSUNG 9100 PRO (MZ-VAP1T0BW) NVMe M.2 2280 (1 TB),160537.28,19048,38918,0.2172568944935876,1.0,0.6477656025221145,Pro Creator
