drive_name_hdd,type_hdd,size_hdd,price_hdd,additional_hdd,capacity_gb
1 TB SSD M.2 PCIe 4.0 WD BLACK SN7100 (WDS100T4X0E) NVMe M.2 2280,M.2 PCIe NVMe,1 TB,4225,"High Tier (PCIe 4.0 x4) | Controller: WD In-house | NAND: BiCS6 TLC | DRAM-less (HMB) | Seq Read/Write: ~7250/6900 MB/s | TBW: 600",1000
1 TB SSD M.2 PCIe 4.0 SAMSUNG 990 EVO PLUS (MZ-V9S1T0BW) NVMe M.2 2280,M.2 PCIe NVMe,1 TB,5110,"High Tier (PCIe 4.0 x4 / PCIe 5.0 x2) | Controller: Samsung Piccolo | NAND: Samsung V-NAND TLC | DRAM-less (HMB) | Seq Read/Write: ~7150/6300 MB/s | TBW: 600",1000
1 TB SSD M.2 PCIe 5.0 LEXAR NM990 NVMe M.2 2280,M.2 PCIe NVMe,1 TB,5405,"Enthusiast Tier (PCIe 5.0 x4) | Controller: Phison E26 | NAND: 232L TLC | DRAM Cache | Seq Read/Write: ~10000/9000 MB/s | TBW: 700",1000
1 TB SSD M.2 PCIe 4.0 SAMSUNG 990 PRO (MZ-V9P1T0BW) NVMe M.2 2280,M.2 PCIe NVMe,1 TB,5900,"Pro Tier (PCIe 4.0 x4) | Controller: Samsung Pascal | NAND: V-NAND 3-bit MLC | DRAM Cache (1GB LPDDR4) | Seq Read/Write: ~7450/6900 MB/s | TBW: 600",1000
1 TB SSD M.2 PCIe 5.0 SAMSUNG 9100 PRO (MZ-VAP1T0BW) NVMe M.2 2280,M.2 PCIe NVMe,1 TB,6490,"Enthusiast Pro Tier (PCIe 5.0 x4) | Controller: Samsung In-house | NAND: V-NAND TLC | DRAM Cache | Seq Read/Write: ~14000/12000 MB/s | TBW: 1000",1000
1 TB SSD M.2 PCIe 5.0 WD BLACK SN8100 (WDS100T1X0M) NVMe M.2 2280,M.2 PCIe NVMe,1 TB,6490,"Enthusiast Pro Tier (PCIe 5.0 x4) | Controller: WD In-house | NAND: BiCS8 TLC | DRAM Cache | Seq Read/Write: ~14000/12000 MB/s | TBW: 1200",1000
128 GB SSD M.2 PCIe 3.0 HIKSEMI WAVE (P) NVMe M.2 2280,M.2 PCIe NVMe,128 GB,1090,"Entry Tier (PCIe 3.0 x4) | NAND: 3D NAND | DRAM-less | Seq Read/Write: ~1800/1000 MB/s | TBW: 60",128
128 GB SSD M.2 PCIe 3.0 HIKSEMI CITY SSD E1000 NVMe M.2 2280,M.2 PCIe NVMe,128 GB,1070,"Entry Tier (PCIe 3.0 x4) | NAND: 3D NAND | DRAM-less | Seq Read/Write: ~1800/1000 MB/s | TBW: 60",128
256 GB SSD M.2 PCIe 3.0 HIKSEMI WAVE (HS-SSD-WAVE(P) 256G) NVMe M.2 2280,M.2 PCIe NVMe,256 GB,1660,"Entry Tier (PCIe 3.0 x4) | NAND: 3D TLC | DRAM-less | Seq Read/Write: ~2100/1200 MB/s | TBW: 120",256
256 GB SSD M.2 PCIe 3.0 LEXAR NM620 (LNM620X256G-RNNNG) NVMe M.2 2280,M.2 PCIe NVMe,256 GB,1760,"Mid-Entry Tier (PCIe 3.0 x4) | Controller: InnoGrit IG5216 | NAND: 3D TLC | DRAM-less | Seq Read/Write: ~3300/1300 MB/s | TBW: 125",256
256 GB SSD M.2 PCIe 3.0 HIKSEMI CITY E3000 (STD) NVMe M.2 2280,M.2 PCIe NVMe,256 GB,1790,"Entry Tier (PCIe 3.0 x4) | NAND: 3D TLC | DRAM-less | Seq Read/Write: ~3200/1300 MB/s | TBW: 120",256
250 GB SSD M.2 PCIe 4.0 GIGABYTE (G440E250G) NVMe M.2 2280,M.2 PCIe NVMe,250 GB,1860,"Entry PCIe 4.0 Tier (PCIe 4.0 x4) | NAND: 3D TLC | DRAM-less (HMB) | Seq Read/Write: ~5000/4600 MB/s | TBW: 150",250
500 GB SSD M.2 PCIe 3.0 WD GREEN SN350 (WDS500G2G0C) NVMe M.2 2280,M.2 PCIe NVMe,500 GB,1860,"Entry Tier (PCIe 3.0 x4) | Controller: SanDisk | NAND: QLC | DRAM-less | Seq Read/Write: ~2400/1500 MB/s | TBW: 60",500
512 GB SSD M.2 PCIe 3.0 KLEVV CRAS C715 (K512GM2SP0-C7T) NVMe M.2 2280,M.2 PCIe NVMe,512 GB,1960,"Entry Tier (PCIe 3.0 x4) | NAND: 3D TLC | DRAM-less (HMB) | Seq Read/Write: ~3200/2000 MB/s | TBW: 250",512
500 GB SSD M.2 PCIe 4.0 LEXAR NM710 NVMe M.2 2280,M.2 PCIe NVMe,500 GB,1960,"Mid Tier (PCIe 4.0 x4) | Controller: Maxio MAP1602A | NAND: 3D TLC | DRAM-less (HMB) | Seq Read/Write: ~5000/2600 MB/s | TBW: 300",500
500 GB SSD M.2 PCIe 4.0 KINGSTON NV3 (SNV3S/500G) NVMe M.2 2280,M.2 PCIe NVMe,500 GB,2055,"Mid-Entry Tier (PCIe 4.0 x4) | NAND: QLC/TLC | DRAM-less (HMB) | Seq Read/Write: ~5000/3000 MB/s | TBW: 160",500
512 GB SSD M.2 PCIe 4.0 HIKSEMI FUTURE LITE NVMe M.2 2280,M.2 PCIe NVMe,512 GB,2090,"Mid Tier (PCIe 4.0 x4) | Controller: Maxio | NAND: YMTC TLC | DRAM-less (HMB) | Seq Read/Write: ~7000/4200 MB/s | TBW: 900",512
500 GB SSD M.2 PCIe 4.0 WD SN5000 BLUE (WDS500G4B0E) NVMe M.2 2280,M.2 PCIe NVMe,500 GB,2155,"Mid Tier (PCIe 4.0 x4) | Controller: WD In-house | NAND: BiCS TLC | DRAM-less (HMB) | Seq Read/Write: ~5000/4000 MB/s | TBW: 300",500
512 GB SSD M.2 PCIe 3.0 HIKSEMI CITY E3000 (STD) NVMe M.2 2280,M.2 PCIe NVMe,512 GB,2190,"Entry Tier (PCIe 3.0 x4) | NAND: 3D TLC | DRAM-less | Seq Read/Write: ~3400/2500 MB/s | TBW: 250",512
500 GB SSD M.2 PCIe 3.0 SANDISK PLUS G26 (SDSSDA3N-500G-G26) NVMe M.2 2280,M.2 PCIe NVMe,500 GB,2255,"Entry Tier (PCIe 3.0 x4) | NAND: TLC/QLC | DRAM-less (HMB) | Seq Read/Write: ~3200/2500 MB/s | TBW: 200",500
500 GB SSD M.2 PCIe 4.0 WD BLACK SN7100 (WDS500G4X0E) NVMe M.2 2280,M.2 PCIe NVMe,500 GB,2310,"High Tier (PCIe 4.0 x4) | Controller: WD In-house | NAND: BiCS6 TLC | DRAM-less (HMB) | Seq Read/Write: ~7250/6900 MB/s | TBW: 300",500
500 GB SSD M.2 PCIe 4.0 GIGABYTE AORUS 5000E (AG450E500G-G 1.1),M.2 PCIe NVMe,500 GB,2350,"Mid Tier (PCIe 4.0 x4) | NAND: 3D TLC | DRAM-less (HMB) | Seq Read/Write: ~5000/3800 MB/s | TBW: 300",500
240 GB SSD M.2 SATA WD GREEN (WDS240G3G0B),M.2 SATA,240 GB,1030,"Legacy SATA Tier | Interface: SATA III 6Gb/s | NAND: QLC | DRAM-less | Seq Read/Write: ~545/465 MB/s | TBW: 40",240
250 GB SSD M.2 SATA WD BLUE 3D NAND (WDS250G3B0B),M.2 SATA,250 GB,1365,"Legacy SATA Tier | Interface: SATA III 6Gb/s | NAND: 3D TLC | DRAM Cache | Seq Read/Write: ~550/525 MB/s | TBW: 100",250
480 GB SSD M.2 SATA WD GREEN (WDS480G3G0B) 3D NAND,M.2 SATA,480 GB,1660,"Legacy SATA Tier | Interface: SATA III 6Gb/s | NAND: QLC | DRAM-less | Seq Read/Write: ~545/465 MB/s | TBW: 80",480
1 TB SSD M.2 SATA WD BLUE (WDS100T3B0B),M.2 SATA,1 TB,3240,"Legacy SATA Tier | Interface: SATA III 6Gb/s | NAND: 3D TLC | DRAM Cache | Seq Read/Write: ~560/530 MB/s | TBW: 400",1000
2 TB SSD M.2 PCIe 4.0 WD SN5000 BLUE (WDS200T4B0E) NVMe M.2 2280,M.2 PCIe NVMe,2 TB,5900,"Mid-High Tier (PCIe 4.0 x4) | Controller: WD In-house | NAND: BiCS6 QLC | DRAM-less (HMB) | Seq Read/Write: ~5500/5000 MB/s | TBW: 900",2000
2 TB SSD M.2 PCIe 5.0 LEXAR NQ790 NVMe M.2 2280,M.2 PCIe NVMe,2 TB,5900,"High Tier (PCIe 4.0 x4 / PCIe 5.0 compatible) | Controller: Maxio MAP1602 | NAND: YMTC 232L TLC | DRAM-less (HMB) | Seq Read/Write: ~7400/6500 MB/s | TBW: 1500",2000
2 TB SSD M.2 PCIe 4.0 KINGSTON NV3 (SNV3S/2000G) NVMe M.2 2280,M.2 PCIe NVMe,2 TB,6390,"Mid Tier (PCIe 4.0 x4) | NAND: QLC | DRAM-less (HMB) | Seq Read/Write: ~6000/5000 MB/s | TBW: 640",2000
