brand_moniter,model_name_moniter,screen_size_moniter,resolution_moniter,panel_type_moniter,refresh_rate_moniter,aspect_ratio_moniter,ports_moniter,price_moniter
DAHUA,LM25-B221B,24.5'',1920 x 1080,IPS,144Hz,16:09,"HDMI, DP",2400
ACER,AOPEN 24SA2YP0WMIX,23.8'',1920 x 1080,VA,144Hz,16:09,"VGA, HDMI",2620
ACER,SA243YP1WMIX,23.8'',1920 x 1080,IPS,144Hz,16:09,"VGA, HDMI, SPK",2750
ACER,EK251QP6BMIX,24.5'',1920 x 1080,IPS,144Hz,16:09,"VGA, HDMI",2790
DAHUA,LM24-C201P,23.8'',1920 x 1080,IPS,100Hz,16:09,"HDMI, DP",2790
ACER,NITRO VG240YP6BMIPX,23.8'',1920 x 1080,IPS,144Hz,16:09,"HDMI, DP",2900
LENOVO,LEGION R24S,23.8'',1920 x 1080,IPS,144Hz,16:09,"HDMI, DP",2900
LENOVO,L24-4C,23.8'',1920 x 1080,IPS,144Hz,16:09,HDMI,2950
ASUS,VY249HGR EYE CARE,23.8'',1920 x 1080,IPS,120Hz,16:09,"VGA, HDMI",3190
ASUS,TUF GAMING VG249QE5A,23.8'',1920 x 1080,IPS,146Hz,16:09,"DP, HDMI, SPK",3250
AOC,24G11ZE/67,23.8'',1920 x 1080,IPS,240Hz,16:09,"HDMI, DP",3290
DAHUA,LM25-E231BN,24.5'',1920 x 1080,IPS,200Hz,-,"HDMI, DP",3350
DAHUA,LM25-E231B,24.5'',1920 x 1080,IPS,180Hz,16:09,"HDMI, DP",3390
DELL,SE2425HG,23.8'',1920 x 1080,IPS,200Hz,16:09,"HDMI, DP",3450
ACER,NITRO VG240YW3BMIIPX,23.8'',1920 x 1080,VA,240Hz,16:09,"HDMI, DP",3350
AOC,24G50Z/67,24'',1920 x 1080,IPS,240Hz,16:09,"HDMI, DP",3650
DELL,S2425HSM,24'',1920 x 1080,IPS,144Hz,16:09,HDMI,3990
DELL,S2425HS,"23.8""",1920 x 1080,IPS,100Hz,16:09,"HDMI, SPK",4890
DELL,P2425H,23.8'',1920 x 1080,IPS,100Hz,16:09,"HDMI, DP",5290
DELL,ULTRASHARP U2424H,23.8'',1920 x 1080,IPS,120Hz,16:09,"DP, HDMI",6950
ASUS,PROART PA248QFV,24.1'',1920 x 1080,IPS,100Hz,16:10,"DP, HDMI, SPK",7150
DELL,ULTRASHARP U2424HE,23.8'',1920 x 1080,IPS,120Hz,16:09,"DP, HDMI, USB-C",8490
DELL,P2425D,23.8'',2560 x 1440,IPS,100Hz,16:09,"HDMI, DP",8390
DELL,P2425E,24'',1920 x 1200,IPS,100Hz,16:10,"HDMI, DP, RJ45, USB-C",8890
ASUS,ROG STRIX XG248QSG,24.1'',1920 x 1080,TN,610Hz,16:09,"DP, HDMI",28200
HIKVISION,DS-D5027F2-2P2,27'',1920 x 1080,IPS,100Hz,-,"VGA, HDMI",2950
DAHUA,LM27-B221B,27'',1920 x 1080,IPS,144Hz,16:09,"HDMI, DP",2990
AOC,27B36X/67,27'',1920 x 1080,IPS,144Hz,16:09,"HDMI, DP",3290
AOC,Q27B30E/67,27'',2560 x 1440,IPS,75Hz,16:09,"HDMI, DP",3490
DELL,SE2725HM,27'',1920 x 1080,VA,100Hz,16:09,"HDMI, VGA",3500
DAHUA,LM27-E231B,27'',1920 x 1080,IPS,180Hz,16:09,"HDMI, DP",3590
ACER,NITRO VG270P6BMIPX,27'',1920 x 1080,IPS,144Hz,16:09,"HDMI, DP, SPK",3600
LENOVO,LEGION R27S,27'',1920 x 1080,IPS,144Hz,16:09,"HDMI, DP",3650
ACER,VG270X1BMIIPX,27'',1920 x 1080,IPS,200Hz,16:09,"HDMI, DP, SPK",3650
DAHUA,LM27-C301B,"27""",2560 x 1440,IPS,100Hz,16:09,"HDMI, DP",3690
LENOVO,L27-4C,27'',1920 x 1080,IPS,144Hz,16:09,HDMI,3790
DAHUA,LM27-E231BN,27'',1920 x 1080,IPS,200Hz,-,"HDMI, DP",3850
AOC,27G11ZE2/67,27'',1920 x 1080,IPS,240Hz,16:09,"HDMI, DP",3890
ACER,NITRO VG270W3BMIIPX,27'',1920 x 1080,IPS,240Hz,16:09,"HDMI, DP, SPK",3890
DELL,SE2725HG,27'',1920 x 1080,IPS,200Hz,16:09,"HDMI, DP",4190
AOC,27G50Z/67,27'',1920 x 1080,IPS,240Hz,16:09,"HDMI, DP",4490
AOC,Q27B30S3/67,27'',2560 x 1440,IPS,120Hz,16:09,"HDMI, DP",4550
AOC,Q27B36X/67,27'',2560 x 1440,IPS,144Hz,16:09,"HDMI, DP",4590
AOC,Q27G40E/67,27'',2560 x 1440,IPS,180Hz,16:09,"HDMI, DP",4690
ACER,AOPEN 27KG3UX1BMIIPPX,27'',2560 x 1440,IPS,200Hz,-,"HDMI, DP",4990
GIGABYTE,GS27QA,27'',2560 x 1440,IPS,180Hz,16:09,"HDMI, DP",5090
DELL,S2725HSM,27'',1920 x 1080,IPS,144Hz,16:09,HDMI,5150
DAHUA,LM27-E331A,27'',2560 x 1440,IPS,180Hz,16:09,"HDMI, DP",5650
AOC,Q27G42ZE/67,27'',2560 x 1440,IPS,260Hz,16:09,"HDMI, DP",5690
AOC,Q27G4/D/67,27'',2560 x 1440,IPS,200Hz,16:09,"HDMI, DP",5950
GIGABYTE,GS27Q,27'',2560 x 1440,IPS,170Hz,16:09,"HDMI, DP",6550
AOC,U27B3AF/67,27'',3840 x 2160,IPS,60Hz,16:09,"HDMI, DP",6790
DELL,S2725DSM,27'',2560 x 1440,IPS,144Hz,16:09,"HDMI, DP",7290
AOC,U27B3CF/67,27'',3840 x 2160,IPS,60Hz,16:09,"HDMI, USB-C, SPK",7390
ASUS,ROG STRIX XG27ACMES,27'',2560 x 1440,IPS,255Hz,16:09,"DP, HDMI, USB-C",8990
DELL,P2725D,27'',2560 x 1440,IPS,100Hz,16:09,"HDMI, DP",9100
DELL,S2725QC,"27""",3840 x 2160,IPS,120Hz,16:09,"HDMI, USB-C, SPK",11200
ASUS,PROART PA278CGV,27'',2560 x 1440,IPS,144Hz,16:09,"DP, HDMI, USB-C",11990
GIGABYTE,AORUS MO27Q2,27'',2560 x 1440,OLED,240Hz,16:09,"HDMI, DP, USB-C",13500
DAHUA,LM27-GO34A,26.5'',2560 x 1440,OLED,240Hz,16:09,"HDMI, DP, SPK",14300
DELL,ULTRASHARP U2724DE,27'',2560 x 1440,IPS,120Hz,16:09,"HDMI, DP, RJ45, USB-C",14900
AOC,Q27G4ZD/67,26.5'',2560 x 1440,OLED,240Hz,16:09,"HDMI, DP",14900
DELL,ALIENWARE AW2725QF,27'',3840 x 2160,IPS,180Hz,16:09,"HDMI, DP, USB-C",18500
ASUS,ROG STRIX XG27ACDMS,26.5'',2560 x 1440,OLED,280Hz,16:09,"HDMI, DP, USB-C",19200
GIGABYTE,AORUS MO27Q28G,"27""",2560 x 1440,OLED,280Hz,16:09,"HDMI, DP, USB-C",19900
ASUS,ROG STRIX XG27AQDNG,26.5'',2560 x 1440,OLED,360Hz,16:09,"HDMI, DP",20200
DELL,ULTRASHARP U2725QE,27'',3840 x 2160,IPS,120Hz,16:09,"HDMI, DP",20900
ASUS,ROG STRIX XG27AQDMG,27'',2560 x 1440,OLED,240Hz,16:09,"HDMI, DP",22500
AOC,Q27G4KD/67,27'',2560 x 1440,IPS,500Hz,16:09,"HDMI, DP",23500
GIGABYTE,MO27Q3,27'',2560 x 1440,OLED,360Hz,16:09,"HDMI, DP, USB-C",24900
GIGABYTE,FO27Q3,27'',2560 x 1440,OLED,360Hz,16:09,"HDMI, DP, USB-C",25900
DELL,ALIENWARE AW2725DF,27'',2560 x 1440,OLED,360Hz,16:09,"DP, HDMI",26500
GIGABYTE,MO27U2,27'',3840 x 2160,OLED,240Hz,16:09,"HDMI, DP, USB-C",27900
ASUS,PROART PA27UCGE,27'',3840 x 2160,IPS,160Hz,16:09,"DP, HDMI, USB-C, SPK",28500
ASUS,ROG STRIX XG27UCDMG,26.5'',3840 x 2160,OLED,240Hz,16:09,"DP, HDMI, USB-C",37700
ASUS,TUF GAMING VG32WQ3B,31.5'',2560 x 1440,FAST VA,180Hz,16:09,"DP, HDMI, SPK",7790
DELL,S3225QS,31.5'',3840 x 2160,VA,120Hz,16:09,"HDMI, DP, SPK",12400
GIGABYTE,MO32U2,31.5'',3840 x 2160,OLED,240Hz,16:09,"HDMI, DP, USB-C",27200
DAHUA,LM32-GO43A,31.5'',3440 x 1440,OLED,165Hz,16:09,"HDMI, DP, USB-C, USB, SPK",27200
ASUS,ROG STRIX XG32UCWG,31.5'',3840 x 2160,OLED,240Hz,16:09,"DP, HDMI, USB-C",35900
