cpu,mb,gpu,ram,psu,total_price,benchmark_cpu,passmark_gpu,cpu_scaled,gpu_scaled,final_score,level
AMD Ryzen 7 1700X,MAINBOARD (AM4) ASROCK A520M-HVS DDR4,RTX A5000,RAM DDR4(3200) 16GB ADATA D35G XPG BLACK (AX4U320016G16A-SBKD35) x2,POWER SUPPLY (80+ BRONZE) 650W ASUS TUF GAMING,100044.0888,15623,23015,0.2209040031979898,0.579630461790595,0.4002672324942924,Basic
AMD Ryzen 3 2300X,MAINBOARD (AM4) ASUS PRIME A520M-K DDR4,Quadro RTX 6000,RAM DDR4(3200) 16GB KINGSTON FURY BEAST RGB (KF432C16BB12A/16WP) x2,POWER SUPPLY 500W OKER SFX,245262.1608,7566,17826,0.10587630632174061,0.44246781739842983,0.27417206186008525,Basic
Intel Core i7-6800K @ 3.40GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon Pro SSG,RAM DDR4(3200) 16GB BLACKBERRY PRO SERIES BLACK x2,POWER SUPPLY (FULL) 600W DTECH PW008,100870.284,10715,10971,0.15083376163554335,0.26126721471808834,0.20605048817681584,Basic
Intel Core i3-6100 @ 3.70GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Intel Arc A750,RAM DDR4(2666) 16GB APACER (EL.16G2V.GNH) x2,POWER SUPPLY (80+ BRONZE) 750W ITSONAS FROZEN,23988.628,4099,12606,0.05637884758152018,0.30448573920858557,0.18043229339505287,Basic
Intel Core i5-8365UE @ 1.60GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),Radeon R7 360,RAM DDR4(3200) 16GB CORSAIR VENGEANCE LPX BLACK (CMK16GX4M1E3200C16) x2,POWER SUPPLY (FULL) 450W DTECH PW006,26512.64,5504,3126,0.07643766775169894,0.05389759720863842,0.06516763248016869,Basic
Intel Core i7-10700E @ 2.90GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Quadro P2200,RAM DDR4(3200) 32GB (16GBx2) BLACKBERRY 3200 PRO SERIES WHITE x2,POWER SUPPLY (FULL) 450W DTECH PW006,44859.6,16086,9411,0.22751413397293127,0.22003119135100846,0.22377266266196988,Basic
AMD Ryzen 5 7500F,MAINBOARD (AM5) COLORFUL BATTLE-AX X870A-GHA V14 WIFI,GeForce RTX 4070 Ti,RAM DDR5(5200) 16GB BLACKBERRY MAXIMUS GRAY x2,POWER SUPPLY (CYBENETICS PLATINUM) 750W CORSAIR RM750E (CP-9020295-NA),60723.572,26627,31568,0.37800525384044315,0.8057148899051043,0.5918600718727738,Standard
AMD Ryzen 7 5800X3D,MAINBOARD (AM4) ASROCK B550M HDV DDR4,GeForce GTX 1060 3GB,RAM DDR4(3200) 16GB BLACKBERRY ASGARD x2,POWER SUPPLY (80+ WHITE) 650W THERMALTAKE TR2 S (PS-TRS-0650NNSAWE-H),44803.6888,28300,9829,0.40189024042030724,0.2310803309455209,0.31648528568291406,Basic
Intel Core i5-6442EQ @ 1.90GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Quadro P1000,RAM DDR4(3200) 16GB (8GBX2) ADATA D35G XPG RGB BLACK (AX4U32008G16A-DTBKD35G) x2,POWER SUPPLY (80+ BRONZE) 750W EINARE AXIS MASTER L1 Black (EXPS-AMH1-750-BK),32610.0,4483,4498,0.061861115870024554,0.09016415109301895,0.07601263348152175,Basic
Intel Core i5-6442EQ @ 1.90GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce RTX 3080 Ti,RAM DDR4(3200) 32GB (16GBX2) KINGSTON FURY BEAST (KF432C16BB1K2/32WP) x2,POWER SUPPLY (80+ GOLD) 850W ASUS ROG STRIX AURA GAMIN G850G,54160.0,4483,26795,0.061861115870024554,0.6795485184108271,0.3707048171404258,Basic
Intel Core i5-14400F,MAINBOARD (1700) ASROCK B760M PRO RS WIFI DDR5,GeForce GTX 1080 Ti,RAM DDR5(5200) 32GB (16GBX2) BLACKBERRY MAXIMUS GRAY x2,POWER SUPPLY (80+ GOLD) 850W GIGABYTE UD850GM PG5 ICE,45478.64,25606,18590,0.36342870195876875,0.4626628955089741,0.4130457987338714,Basic
Intel Core i3-10100 @ 3.60GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,TITAN V,RAM DDR4(3200) 16GB (8GBX2) BLACKBERRY MAXIMUS GRAY x2,POWER SUPPLY (80+ BRONZE) 650W ITSONAS DARK FOREST WHITE SFX,48513.2088,8511,20072,0.11936782593798184,0.5018371177077,0.31060247182284095,Basic
Intel Xeon E3-1535M v6 @ 3.10GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon R9 380X,RAM DDR4(2666) 16GB APACER (EL.16G2V.GNH) x2,POWER SUPPLY (80+ GOLD) 850W SEGOTEP GM850W WHITE,47327.759999999995,8109,6130,0.11362857632345383,0.1333033755385795,0.12346597593101666,Basic
Intel Core i7-6900K @ 3.20GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce RTX 3050 8GB,RAM DDR4(3200) 16GB (8GBX2) ADATA D35 XPG BLACK (AX4U32008G16A-DTBKD35) x2,POWER SUPPLY (80+ GOLD) 1350W THERMALTAKE TOUGHPOWER GF3,31300.88,14649,12509,0.20699845811204384,0.30192170442229915,0.2544600812671715,Basic
Intel Core i7-7820EQ @ 3.00GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon RX 6800,RAM DDR4(3200) 16GB (8GBX2) ADATA D35G XPG RGB BLACK (AX4U32008G16A-DTBKD35G) x2,POWER SUPPLY (80+ GOLD) 850W CORSAIR SERIES RM850E WHITE (CP-9020293-NA),42823.36,7061,22032,0.09866655245274397,0.5536464803996722,0.32615651642620813,Basic
Intel Core i5-12600HE,MAINBOARD (1700) LONGWELL B760M-AV DDR4,Radeon RX 9060 XT 8GB,RAM DDR4(2666) 16GB APACER (EL.16G2V.GNH) x2,POWER SUPPLY (80+ WHITE) 650W THERMALTAKE TR2 S (PS-TRS-0650NNSAWE-H),37122.8,22827,19803,0.32375364056878536,0.4947265470117099,0.4092400937902476,Basic
Intel Core i3-8100B @ 3.60GHz,MAINBOARD (1151V2) GIGABYTE H310M M.2 2.0 DDR4 (REV. 1.3),Quadro M2200,RAM DDR4(3200) 32GB (16GBX2) BLACKBERRY ASGARD (B16G32DASX2) x2,POWER SUPPLY (FULL) 550W ANTEC ATOM V550,33648.96,5906,4288,0.08217691736622693,0.0846131479474505,0.08339503265683872,Basic
Intel Core i7-8665UE @ 1.70GHz,MAINBOARD (1151V2) GIGABYTE H310M M.2 2.0 DDR4 (REV. 1.3),Radeon RX 6700S,RAM DDR4(3200) 16GB BLACKBERRY 8 CHIP x2,POWER SUPPLY (80+ BRONZE) 750W AEROCOOL LUX,38113.08,4852,15080,0.06712923305350921,0.3698818429330443,0.21850553799327677,Basic
Intel Core i5-6442EQ @ 1.90GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),RTX PRO 5000 Blackwell,RAM DDR4(3200) 16GB HIKSEMI ARMOR WHITE (HSC416U32E2) x2,POWER SUPPLY (80+ GOLD) 850W SEGOTEP GM850W,193410.0,4483,31628,0.061861115870024554,0.8073008908038382,0.43458100333693134,Basic
Intel Core i5-10500 @ 3.10GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,GeForce GTX 980 Ti,RAM DDR4(3200) 16GB (8GBX2) KINGSTON FURY BEAST RGB (KF432C16BB2AK2/16WP) x2,POWER SUPPLY 450W DTECH PW053 SFX,25339.7656,13001,13665,0.18347039004054594,0.33247865507123786,0.2579745225558919,Basic
Intel Core i3-13100E,MAINBOARD (1700) ASUS PRIME B760M-A DDR5,Radeon RX 6950 XT,RAM DDR5(5600) 16GB (8GBX2) KINGSTON FURY BEAST (KF556C40BBK2-16) x2,POWER SUPPLY (80+ WHITE) 600W MSI MAG A600DN,53453.44,13727,28098,0.1938353035234995,0.7139911712616637,0.4539132373925816,Standard
Intel Core i5-6500T @ 2.50GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon RX 7600 XT,RAM DDR4(3200) 16GB BLACKBERRY 16 CHIP (BBR16G32D16C) x2,POWER SUPPLY (80+ GOLD) 850W NZXT WHITE (PA-8G2BW-US),30124.044,4771,17296,0.06597281708640282,0.4284581427929476,0.2472154799396752,Basic
Intel Core i5-13400T,MAINBOARD (1700) LONGWELL B760M-AV DDR4,GeForce GTX 1060 3GB,RAM DDR4(3200) 16GB (8GBX2) ADATA D35 XPG BLACK (AX4U32008G16A-DTBKD35) x2,POWER SUPPLY (CYBENETICS PLATINUM) 1050W MONTECH CENTURY II,26797.52,20224,9829,0.28659128547769974,0.2310803309455209,0.25883580821161034,Basic
Intel Xeon E3-1270 v5 @ 3.60GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Quadro P400,RAM DDR4(2666) 16GB HIKSEMI (HSC416U26Z1) x2,POWER SUPPLY (80+ BRONZE) 550W ITSONAS FROZEN,35293.044,8319,1661,0.11662669179372964,0.015172741931220427,0.06589971686247503,Basic
Intel Core i9-14900KF,MAINBOARD (1700) ASROCK B760M PG LIGHTNING WIFI DDR5,Radeon Pro 555,RAM DDR5(5600) 32GB (16GBX2) CORSAIR VENGEANCE BLACK (CMK32GX5M2B5600C40) x2,POWER SUPPLY (80+ SILVER) 650W GIGABYTE P-650SS ICE (GP-650SS ICE),85381.6088,58328,3140,0.8305921991890811,0.054267664085009645,0.44242993163704536,Basic
Intel Xeon E-2456,MAINBOARD (1700) ASUS PRIME H610M-F DDR4 R2.0,Radeon Pro W5500,RAM DDR4(3200) 16GB ACER UD100 BLACK (ZC.A01ST.0GC) x2,POWER SUPPLY (80+ BRONZE) 750W ITSONAS FROZEN,42100.0,20705,8940,0.2934583975786648,0.2075810842959478,0.25051974093730633,Basic
Intel Core i5-9300HF @ 2.40GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),Quadro RTX 6000,RAM DDR4(3200) 16GB HIKSEMI ARMOR BLACK (HSC416U32D2)Recommend x2,POWER SUPPLY 650W DTECH PW036,243950.0,7246,17826,0.10130774941465365,0.44246781739842983,0.27188778340654174,Basic
Intel Core i7-14700T,MAINBOARD (1700) MSI PRO H610M-S DDR4,TITAN V,RAM DDR4(3200) 16GB KINGSTON VALUE RAM (KVR32N22D8/16WP) x2,POWER SUPPLY (80+ GOLD) 1250W SEGOTEP GM1250W,59570.08,31285,20072,0.44450631031922794,0.5018371177077,0.473171714013464,Standard
Intel Core i5-14600,MAINBOARD (1700) ASUS PRIME B760M-A-WIFI-CSM DDR5,T400,RAM DDR5(5200) 16GB (8GBX2) KINGSTON FURY BEAST (KF552C40BBK2-16) x2,POWER SUPPLY (80+ WHITE) 650W THERMALTAKE TR2 S,39215.6,32428,3618,0.4608246245217292,0.06690280457825593,0.2638637145499926,Basic
Intel Xeon E-2478,MAINBOARD (1700) GIGABYTE B760M E DDR5 (REV. 1.0),Intel Arc B580,RAM DDR5(5200) 32GB (16GBX2) ZADAK SPARK RGB (ZD5-SPR52C50-32G2W2) x2,POWER SUPPLY 650W DTECH PW036,55042.72,27817,15825,0.39499457483867284,0.3895746874256562,0.3922846311321645,Basic
Intel Core i5-12400F,MAINBOARD (1700) MSI PRO B760M-P DDR5,Quadro P620,RAM DDR5(5200) 32GB (16GBX2) APACER GAMING BLACK (AH5U32G52C5027BAA-2) x2,POWER SUPPLY (80+ BRONZE) 650W EINAREX AXIS MASTER L1 WHITE (EXPS-AMH1-650-WH),54733.8888,19585,3703,0.2774684484038604,0.06914963918479554,0.173309043794328,Basic
Intel Core i3-10105F @ 3.70GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Intel Arc A380,RAM DDR4(3200) 32GB ADATA 16 CHIP (AD4U320032G22-SGN) x2,POWER SUPPLY (80+ GOLD) 850W SEGOTEP GM850W,31002.1256,8894,6280,0.12483581748615155,0.1372683777854141,0.13105209763578282,Basic
Intel Core i9-9960X @ 3.10GHz,MAINBOARD (1151V2) LONGWELL H310-D4N V3 DDR4,Quadro M2000,RAM DDR4(3200) 16GB ACER UD100 BLACK (ZC.A01ST.0GC) x2,POWER SUPPLY (FULL) 600W DTECH PW008,27430.8672,29634,4034,0.4209354120267261,0.0778990774761439,0.24941724475143498,Basic
AMD Ryzen 5 3500X,MAINBOARD (AM4) GIGABYTE B550M GAMING X WIFI6 DDR4 (REV. 1.0),Radeon Pro Duo,RAM DDR4(2666) 16GB BLACKBERRY x2,POWER SUPPLY (80+ BRONZE) 750W MSI MAG A750BN PCIE5,156695.8488,13163,8298,0.18578322197475872,0.19061087467949567,0.1881970483271272,Basic
Intel Core i9-10900KF @ 3.70GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Radeon RX 6600,RAM DDR4(3600) 16GB (8GBX2) KINGSTON FURY BEAST (KF436C17BBK2/16) x2,POWER SUPPLY (80+ WHITE) 650W MONTECH AP650,34988.864799999996,22213,15072,0.3149877220033122,0.36967037614654646,0.34232904907492934,Basic
Intel Xeon E3-1270 v5 @ 3.60GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Quadro M2000,RAM DDR4(3200) 16GB CORSAIR VENGEANCE LPX BLACK (CMK16GX4M1E3200C16) x2,POWER SUPPLY (SATA) 580W TSUNAMI EXTREME+PRO,33238.044,8319,4034,0.11662669179372964,0.0778990774761439,0.09726288463493676,Basic
Intel Core i3-7101E @ 3.90GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon RX 570X,RAM DDR4(3200) 8GB KINGSTON FURY BEAST RGB (KF432C16BB2A/8WP) x1,POWER SUPPLY (80+ BRONZE) 650W DTECH PW023A,11591.04,4430,1923,0.061104448632288276,0.022098279189024874,0.04160136391065657,Basic
Intel Core i9-13900KS,MAINBOARD (1700) ASROCK B760M PRO RS DDR5,Tesla P4,RAM DDR5(4800) 16GB ADATA (AD5U480016G-B) x2,POWER SUPPLY (80+ GOLD) 850W CORSAIR SERIES RM850E (CP-9020296-NA),44848.1976,60519,9158,0.8618725372622923,0.21334355422801407,0.5376080457451532,Standard
Intel Core i5-7440EQ @ 2.90GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Intel Arc,RAM DDR4(3200) 16GB (8GBX2) APACER NOX RGB BLACK (AH4U16G32C28YNBAA-2) x2,POWER SUPPLY 600W TSUNAMI EX600 DEEP SPACE,30285.0,5711,5491,0.07939295300097082,0.11641246596706405,0.09790270948401744,Basic
Intel Core i5-11600 @ 2.80GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,GeForce GTX 1650 SUPER,RAM DDR4(3200) 8GB BLACKBERRY MAXIMUS x1,POWER SUPPLY (80+ BRONZE) 650W SEGOTEP BN650W ID PCIE 5.1,15486.8,17948,10186,0.2540974244760436,0.24051703629298724,0.2473072303845154,Basic
Intel Core i7-7740X @ 4.30GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon RX 5700,RAM DDR4(2666) 8GB BLACKBERRY MAXIMUS GRAY x1,POWER SUPPLY (80+ WHITE) 600W MONTECH AP600,12261.848,9689,14256,0.13618582605219576,0.3481007639237662,0.24214329498798098,Basic
AMD Ryzen 5 2600X,MAINBOARD (AM4) ASROCK B550M PHANTOM GAMING4,GeForce RTX 4070 Ti SUPER,RAM DDR4(3200) 16GB (8GBX2) KINGSTON FURY BEAST RGB (KF432C16BB2AK2/16) x2,POWER SUPPLY (80+ GOLD) 1000W SEGOTEP GM1000W WHITE,56270.0,13873,31797,0.19591970761235794,0.8117681266686051,0.5038439171404815,Standard
Intel Core i5-9500T @ 2.20GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),Quadro P2200,RAM DDR4(2666) 16GB HIKSEMI (HSC416U26Z1) x2,POWER SUPPLY (80+ BRONZE) 750W AEROCOOL LUX RGB,35725.04,8062,9411,0.11295756952772543,0.22003119135100846,0.16649438043936693,Basic
Intel Core i3-8100T @ 3.10GHz,MAINBOARD (1151V2) GIGABYTE H310M M.2 2.0 DDR4 (REV. 1.3),GeForce GTX 1080 Ti,RAM DDR4(3200) 32GB ADATA 16 CHIP (AD4U320032G22-SGN) x2,POWER SUPPLY (FULL) 750W ANTEC ATOM V750,28506.08,5266,18590,0.073039803552053,0.4626628955089741,0.26785134953051354,Basic
AMD Ryzen 5 PRO 4655G,MAINBOARD (AM4) LONGWELL A520M-YH DDR4,Quadro M2200,RAM DDR4(3200) 16GB APACER PANTHER GOLDEN (AH4U16G32C28Y7GAA-1) x2,POWER SUPPLY (80+ GOLD) 850W THERMALTAKE TOUGHPOWER GT,29172.5384,16181,4288,0.22887042430472274,0.0846131479474505,0.15674178612608664,Basic
Intel Core i3-8300 @ 3.70GHz,MAINBOARD (1151V2) GIGABYTE H310M M.2 2.0 DDR4 (REV. 1.3),Radeon RX 6600,RAM DDR4(3200) 16GB KINGSTON FURY BEAST RGB (KF432C16BB12A/16WP) x2,POWER SUPPLY (80+ GOLD) 850W GIGABYTE UD850GM PG5 ICE,30072.0152,6368,15072,0.08877277140083376,0.36967037614654646,0.22922157377369012,Basic
AMD Ryzen 5 5600GT,MAINBOARD (AM4) ASROCK B450M HDV DDR4 R4.0,Tesla P4,RAM DDR4(3200) 16GB ADATA D35G XPG WHITE (AX4U320016G16A-SWHD35) x2,POWER SUPPLY (80+ BRONZE) 550W ITSONAS DARK FOREST WHITE SFX,24572.1688,20258,9158,0.2870766946490777,0.21334355422801407,0.2502101244385459,Basic
Intel Core i5-6400 @ 2.70GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon RX 5600 XT,RAM DDR4(3200) 8GB HIKSEMI FUTURE WHITE RGB (HSC408U32F4) x1,POWER SUPPLY (80+ BRONZE) 700W ITSONAS AURORA ARGB,14346.6824,5174,13418,0.0717263434412655,0.3259496180381169,0.1988379807396912,Basic
Intel Core i5-13490F,MAINBOARD (1700) ASROCK H610M-HVS/M.2 R2.0 DDR4,Radeon RX 550,RAM DDR4(2666) 16GB APACER (EL.16G2V.GNH) x2,POWER SUPPLY (80+ BRONZE) 750W EINARE AXIS MASTER L1 Black (EXPS-AMH1-750-BK),28015.274400000002,26583,2690,0.3773770772657187,0.04237265734450582,0.20987486730511223,Basic
AMD Athlon 5150 APU,MAINBOARD (AM4) GIGABYTE B550M GAMING X WIFI6 DDR4 (REV. 1.0),Radeon RX 5700 XT,RAM DDR4(2666) 8GB HYNIX 8 CHIP x1,POWER SUPPLY (80+ GOLD) 850W DTECH PW072A,18998.404000000002,1417,16123,0.018088630003997488,0.39745182522270095,0.2077702276133492,Basic
AMD Ryzen 5 5500,MAINBOARD (AM4) ASUS PRIME A520M-K DDR4,Radeon R9 Fury,RAM DDR4(3200) 16GB HIKSEMI ARMOR WHITE (HSC416U32E2) x2,POWER SUPPLY (CYBENETICS PLATINUM) 650W CORSAIR RM650E (CP-9020302-NA),31729.68,19291,9515,0.2732710867454743,0.22278025957548045,0.24802567316047736,Basic
AMD Athlon 2200+,MAINBOARD (AM4) ASROCK B450M PRO4 DDR4 R2.0,Radeon RX 6700 XT,RAM DDR4(3200) 16GB BLACKBERRY ASGARD x2,POWER SUPPLY (80+ SILVER) 550W GIGABYTE P-550SS ICE (GP-550SS),25125.059999999998,236,19734,0.001227799668779624,0.492902645978166,0.24706522282347282,Basic
Intel Core i3-14100,MAINBOARD (1700) GIGABYTE B760M D3HP WIFI6 DDR5 (rev. 1.0),GeForce GTX 1660 Ti,RAM DDR5(5600) 96GB (48GBX2) G.SKILL TRIDENT Z5 NEO RGB BLACK (F5-5600J4040D48GX x2,POWER SUPPLY (80+ BRONZE) 550W ITSONAS DARK FOREST WHITE SFX,154701.2888,15149,12681,0.21413682827936723,0.3064682403320029,0.26030253430568506,Basic
AMD Ryzen 7 1700X,MAINBOARD (AM4) ASROCK A520M-HVS DDR4,Radeon RX 7900 XTX,RAM DDR4(3200) 16GB LEXAR THOR OC DARK GREY (LD4BU016G-R3200GSXG) x2,POWER SUPPLY 620W TSUNAMI EXTREME+PRO,53584.0888,15623,31353,0.2209040031979898,0.8000317200179747,0.5104678616079823,Standard
Intel Core i5-9500TE @ 2.20GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),Quadro P520,RAM DDR4(3200) 16GB APACER NOX WHITE (AH4U16G32C28YMWAA-1) x2,POWER SUPPLY (SATA) 580W TSUNAMI EXTREME+PRO,74155.04000000001,9772,2017,0.13737079549997144,0.02458301393037456,0.080976904715173,Basic
Intel Core i5-6350HQ @ 2.30GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Quadro P4000,RAM DDR4(3200) 16GB KINGSTON FURY BEAST (KF432C16BB1/16WP) x2,POWER SUPPLY (80+ BRONZE) 750W ITSONAS FROZEN,32772.72,4255,11445,0.058606019073725084,0.2737966218180857,0.16620132044590538,Basic
Intel Core i5-12600KF,MAINBOARD (1700) GIGABYTE H610M S2H V2 DDR4 (REV. 1.0),GeForce RTX 5070,RAM DDR4(3200) 16GB (8GBX2) KINGSTON FURY BEAST RGB (KF432C16BB2AK2/16) x2,POWER SUPPLY (80+ BRONZE) 750W ASUS TUF GAMING 750B,46810.5288,27547,28788,0.3911398549483182,0.732230181597103,0.5616850182727106,Standard
Intel Core i9-12900T,MAINBOARD (1700) GIGABYTE H610M K DDR4 (REV. 2.0),Radeon Pro WX 3200,RAM DDR4(3200) 32GB (16GBX2) BLACKBERRY MAXIMUS x2,POWER SUPPLY (FULL) 500W DTECH PW007,37767.68,29143,2222,0.4139255325224145,0.030001850334381856,0.22196369142839817,Basic
Intel Core i7-7740X @ 4.30GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Quadro P6000,RAM DDR4(3200) 16GB HIKSEMI (HSC416U32Z1) x2,POWER SUPPLY (80+ WHITE) 650W MONTECH AP650,130556.848,9689,15555,0.13618582605219576,0.3824376833813539,0.2593117547167748,Basic
Intel Core i3-7100 @ 3.90GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon Pro WX 5100,RAM DDR4(2666) 16GB HYNIX 16 CHIP x2,POWER SUPPLY (FULL) 450W DTECH PW006,28237.2912,4311,5466,0.059405516532465306,0.11575163225925829,0.0875785743958618,Basic
Intel Core i5-9600 @ 3.10GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),Quadro P6000,RAM DDR4(3200) 32GB (16GBX2) CORSAIR VENGEANCE LPX BLACK (CMK32GX4M2E3200C16) x2,POWER SUPPLY (CYBENETICS PLATINUM) 650W CORSAIR RM650E (CP-9020302-NA),140350.8528,10355,15555,0.1456941351150705,0.3824376833813539,0.2640659092482122,Basic
Intel Core i3-13100TE,MAINBOARD (1700) ASUS H610M-K DDR5,Quadro M2200,RAM DDR5(5200) 64GB (32GBX2) KINGSTON FURY BEAST (KF552C40BBK2-64) x2,POWER SUPPLY (CYBENETICS PLATINUM) 1050W MONTECH CENTURY II,66983.44,11248,4288,0.15844326423391009,0.0846131479474505,0.1215282060906803,Basic
Intel Xeon E3-1280 v6 @ 3.90GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),TITAN RTX,RAM DDR4(3200) 32GB (16GBX2) BLACKBERRY ASGARD (B16G32DASX2) x2,POWER SUPPLY 600W TSUNAMI EX600,76859.44,9093,20006,0.12767688881274625,0.5000925167190928,0.3138847027659195,Basic
